Percentage,MV,Augmented_MV,Budget,Exec_Time
1,3.2564474900191973,3.2564474900191973,12.895336039066315,5.914286136627197
2,3.2564474900191973,3.2564474900191973,19.928404726982116,5.8890721797943115
3,3.2564474900191973,3.2564474900191973,26.96147341489792,5.87482762336731
4,3.2564474900191973,3.2564474900191973,33.99454210281372,5.873401641845703
5,3.2564474900191973,3.2564474900191973,41.027610790729526,5.876669645309448
6,3.2564474900191973,3.2564474900191973,48.060679478645326,5.898062229156494
7,3.2564474900191973,3.2564474900191973,55.09374816656113,5.884329795837402
8,3.2564474900191973,3.2564474900191973,62.12681685447693,5.889910936355591
9,3.2564474900191973,3.2564474900191973,69.15988554239273,5.883069276809692
10,3.2564474900191973,3.2564474900191973,76.19295423030853,5.878831386566162
