Unit,MV,Augmented_MV,Budget,Exec_Time,OverBudget,RC_TIME,RC_NUM,RC_by_budget,SUCCESS,overhead_pctg
1,91.32946608012091,91.32946608012091,322.4,118.10421538352966,False,34.0,1,1.0,1,0.00028788134182669914
1,91.32946608012091,91.32946608012091,322.4,118.12924933433533,False,37.0,1,1.0,1,0.00031321624583663225
2,91.32946608012091,91.32946608012091,322.4,117.9939603805542,False,72.0,1,2.0,1,0.0006102007235606429
2,91.32946608012091,91.32946608012091,322.4,118.05112719535828,False,73.0,1,2.0,1,0.0006183761369698326
3,91.32946608012091,91.32946608012091,322.4,118.3027331829071,False,145.0,1,4.0,1,0.0012256690618957756
3,91.32946608012091,91.32946608012091,322.4,118.27860355377197,False,141.0,1,4.0,1,0.0011921006484989349
4,91.32946608012091,91.32946608012091,322.4,118.36827182769775,False,139.0,1,4.0,1,0.001174301169170863
4,91.32946608012091,91.32946608012091,322.4,118.26559019088745,False,140.0,1,4.0,1,0.001183776276548673
5,91.32946608012091,91.32946608012091,322.4,118.55345463752747,False,181.0,1,5.0,1,0.001526737458249533
5,91.32946608012091,91.32946608012091,322.4,118.40358829498291,False,176.0,1,5.0,1,0.001486441437581479
6,91.32946608012091,91.32946608012091,322.4,118.64478015899658,False,251.0,1,7.0,1,0.002115558726339527
6,91.32946608012091,91.32946608012091,322.4,118.86841607093811,False,252.0,1,7.0,1,0.0021199912334123458
7,91.32946608012091,91.32946608012091,322.4,118.47893190383911,False,293.0,1,8.0,1,0.0024730135163423587
7,91.32946608012091,91.32946608012091,322.4,118.33219814300537,False,283.0,1,8.0,1,0.0023915722385042856
8,91.32946608012091,91.32946608012091,322.4,118.61957287788391,False,288.0,1,8.0,1,0.0024279298349564053
8,91.32946608012091,91.32946608012091,322.4,118.34454727172852,False,288.0,1,8.0,1,0.0024335721977855815
9,91.32946608012091,91.32946608012091,322.4,118.67134284973145,False,353.0,1,10.0,1,0.0029746018838515136
9,91.32946608012091,91.32946608012091,322.4,118.50056338310242,False,356.0,1,10.0,1,0.003004205126426967
10,91.32946608012091,91.32946608012091,322.4,118.43429970741272,False,357.0,1,10.0,1,0.0030143294711241124
10,91.32946608012091,91.32946608012091,322.4,118.55675959587097,False,354.0,1,10.0,1,0.002985911568490009
11,91.32946608012091,91.32946608012091,322.4,118.42641401290894,False,429.0,1,12.0,1,0.003622502661891268
11,91.32946608012091,91.32946608012091,322.4,118.66321849822998,False,431.0,1,12.0,1,0.0036321280128301
12,91.32946608012091,91.32946608012091,322.4,118.7579607963562,False,460.0,1,13.0,1,0.003873424542787484
12,91.32946608012091,91.32946608012091,322.4,118.69479298591614,False,469.0,1,13.0,1,0.003951310653161085
13,91.32946608012091,91.32946608012091,322.4,118.96156430244446,False,508.0,1,14.0,1,0.004270286818929814
13,91.32946608012091,91.32946608012091,322.4,118.60227227210999,False,494.0,1,14.0,1,0.004165181581568796
14,91.32946608012091,91.32946608012091,322.4,118.67646884918213,False,496.0,1,14.0,1,0.004179430048852673
14,91.32946608012091,91.32946608012091,322.4,118.97539591789246,False,494.0,1,14.0,1,0.004152118983835282
15,91.32946608012091,91.32946608012091,322.4,118.76010799407959,False,535.0,1,15.0,1,0.004504879702759034
15,91.32946608012091,91.32946608012091,322.4,118.66321754455566,False,534.0,1,15.0,1,0.0045001307991627115
16,91.32946608012091,91.32946608012091,322.4,118.64553236961365,False,501.0,1,14.0,1,0.004222662160082408
16,91.32946608012091,91.32946608012091,322.4,118.76537084579468,False,495.0,1,14.0,1,0.004167881567453778
17,91.32946608012091,91.32946608012091,322.4,118.72165036201477,False,576.0,1,16.0,1,0.004851684576853661
17,91.32946608012091,91.32946608012091,322.4,118.84444737434387,False,572.0,1,16.0,1,0.0048130140922636264
18,91.32946608012091,91.32946608012091,322.4,119.01166415214539,False,604.0,1,17.0,1,0.005075132797301632
18,91.32946608012091,91.32946608012091,322.4,119.0550217628479,False,602.0,1,17.0,1,0.005056485573528819
19,91.32946608012091,91.32946608012091,322.4,118.82739353179932,False,616.0,1,17.0,1,0.005183989833414571
19,91.32946608012091,91.32946608012091,322.4,118.84280633926392,False,613.0,1,17.0,1,0.005158074088641525
20,91.32946608012091,91.32946608012091,322.4,118.73477220535278,False,609.0,1,17.0,1,0.005129078775227946
20,91.32946608012091,91.32946608012091,322.4,119.1233959197998,False,605.0,1,17.0,1,0.005078767233997578
30,91.32946608012091,91.32946608012091,322.4,118.87023377418518,False,787.0,1,22.0,1,0.006620665031205746
30,91.32946608012091,91.32946608012091,322.4,118.98432898521423,False,783.0,1,22.0,1,0.006580698539698456
40,91.32946608012091,91.32946608012091,322.4,119.05771589279175,False,925.0,1,26.0,1,0.0077693410549967
40,91.32946608012091,91.32946608012091,322.4,119.17805743217468,False,927.0,1,26.0,1,0.007778277478029579
50,91.32946608012091,91.32946608012091,322.4,119.30146837234497,False,1038.0,1,29.0,1,0.008700647311065424
50,91.32946608012091,91.32946608012091,322.4,119.62787079811096,False,1035.0,1,29.0,1,0.008651829988236685
60,91.32946608012091,91.32946608012091,322.4,119.57822680473328,False,1227.0,1,34.0,1,0.010261065352671976
60,91.32946608012091,91.32946608012091,322.4,119.58437204360962,False,1222.0,1,34.0,1,0.010218726570344536
70,91.32946608012091,91.32946608012091,322.4,119.5824818611145,False,1288.0,1,36.0,1,0.010770808398975271
70,91.32946608012091,91.32946608012091,322.4,119.58899140357971,False,1275.0,1,36.0,1,0.010661516457624668
80,91.32946608012091,91.32946608012091,322.4,119.7617871761322,False,1294.0,1,36.0,1,0.010804781980223208
80,91.32946608012091,91.32946608012091,322.4,119.5790147781372,False,1273.0,1,36.0,1,0.010645680618475411
90,91.32946608012091,91.32946608012091,322.4,119.94408774375916,False,1429.0,1,40.0,1,0.011913884434661121
90,91.32946608012091,91.32946608012091,322.4,119.75327014923096,False,1422.0,1,40.0,1,0.011874414771537927
100,91.32946608012091,91.32946608012091,322.4,119.91229462623596,False,1418.0,1,40.0,1,0.011825309526599215
100,91.32946608012091,91.32946608012091,322.4,119.6906590461731,False,1422.0,1,40.0,1,0.01188062636910901
