Percentage,MV,Augmented_MV,Budget,Exec_Time
1,93.68585796920783,93.68585796920783,109.347,47.79880380630493
2,94.40288334929681,94.40288334929681,192.864,182.17673254013062
3,94.98709975131185,94.98709975131185,276.381,191.7711169719696
4,94.79718377586013,94.79718377586013,359.898,336.2151429653168
5,94.79718377586013,94.79718377586013,443.415,335.72951221466064
6,94.79718377586013,94.79718377586013,526.932,336.04833459854126
7,94.79718377586013,94.79718377586013,610.449,336.2542350292206
8,94.79718377586013,94.79718377586013,693.966,336.0465385913849
9,94.79718377586013,94.79718377586013,777.483,335.78694319725037
10,94.79718377586013,94.79718377586013,861.0,335.8171417713165
