Percentage,MV,Augmented_MV,Budget,Exec_Time
1,93.56862647817209,93.56862647817209,109.347,72.7585997581482
2,89.07046532805681,89.07046532805681,192.864,121.48109555244446
3,89.01511687929282,89.01511687929282,276.381,211.35149908065796
4,93.89365846709391,93.89365846709391,359.898,311.728786945343
5,93.89365846709391,93.89365846709391,443.415,311.4835093021393
6,93.89365846709391,93.89365846709391,526.932,311.4664878845215
7,93.89365846709391,93.89365846709391,610.449,311.8143494129181
8,93.89365846709391,93.89365846709391,693.966,311.90117263793945
9,93.89365846709391,93.89365846709391,777.483,311.55093812942505
10,93.89365846709391,93.89365846709391,861.0,311.9956696033478
