Percentage,MV,Augmented_MV,Budget,Exec_Time
1,30.16949019607841,30.16949019607841,54.408843994140625,30.117938995361328
2,39.842666666666645,39.842666666666645,56.876097679138184,31.66686511039734
3,56.272784313725495,56.272784313725495,59.34335136413574,46.242916107177734
4,56.36713725490196,56.36713725490196,61.8106050491333,47.15305757522583
5,72.37843137254895,72.37843137254895,64.27785873413086,54.728795528411865
6,73.02964705882351,73.02964705882351,66.74511241912842,57.01964855194092
7,81.40494117647057,81.40494117647057,69.21236610412598,65.50034523010254
8,85.05443137254906,85.05443137254906,71.67961978912354,67.40244054794312
9,83.88650980392154,83.88650980392154,74.1468734741211,69.24381685256958
10,88.92070588235293,88.92070588235293,76.61412715911865,71.7729127407074
