Percentage,MV,Augmented_MV,Budget,Exec_Time
1,37.65803921568629,37.65803921568629,54.408843994140625,30.86106014251709
2,40.08125490196079,40.08125490196079,56.876097679138184,32.19186568260193
3,52.37466666666668,52.37466666666668,59.34335136413574,46.35732054710388
4,64.26023529411763,64.26023529411763,61.8106050491333,47.65346813201904
5,65.01356862745095,65.01356862745095,64.27785873413086,49.674777030944824
6,71.22933333333327,71.22933333333327,66.74511241912842,57.34378433227539
7,74.97733333333335,74.97733333333335,69.21236610412598,59.3083176612854
8,82.98556862745099,82.98556862745099,71.67961978912354,67.93035888671875
9,83.45411764705885,83.45411764705885,74.1468734741211,70.25443506240845
10,87.36729411764708,87.36729411764708,76.61412715911865,72.21722507476807
