Percentage,MV,Augmented_MV,Budget,Exec_Time
1,30.16901960784312,30.16901960784312,54.408843994140625,30.11850094795227
2,39.84533333333331,39.84533333333331,56.876097679138184,31.660509824752808
3,56.268941176470605,56.268941176470605,59.34335136413574,46.296635150909424
4,56.34682352941177,56.34682352941177,61.8106050491333,46.97752904891968
5,64.44627450980391,64.44627450980391,64.27785873413086,54.81759309768677
6,73.01552941176466,73.01552941176466,66.74511241912842,56.859779834747314
7,73.57411764705878,73.57411764705878,69.21236610412598,60.0522677898407
8,84.92752941176474,84.92752941176474,71.67961978912354,67.33648610115051
9,85.31882352941182,85.31882352941182,74.1468734741211,69.77861666679382
10,85.66964705882359,85.66964705882359,76.61412715911865,71.89915347099304
