Percentage,MV,Augmented_MV,Budget,Exec_Time
1,0.0,0.0,54.408843994140625,0.09227252006530762
2,41.03019607843143,41.03019607843143,56.876097679138184,41.45353651046753
3,58.08392156862755,58.08392156862755,59.34335136413574,60.3806836605072
4,72.05498039215689,72.05498039215689,61.8106050491333,63.14082932472229
5,80.17160784313735,80.17160784313735,64.27785873413086,64.97339534759521
6,85.90266666666672,85.90266666666672,66.74511241912842,67.02902245521545
7,91.336,91.336,69.21236610412598,69.00885725021362
8,91.336,91.336,71.67961978912354,69.02565383911133
9,96.72650980392159,96.72650980392159,74.1468734741211,71.07341170310974
10,96.72486274509805,96.72486274509805,76.61412715911865,70.92284083366394
