Unit,MV,Augmented_MV,Budget,Exec_Time,OverBudget,RC_TIME,RC_NUM,RC_by_budget,SUCCESS,overhead_pctg
1,41.9,41.9,32.252850723266604,30.46463704109192,False,14.0,1,1.0,1,0.00045954921376927096
1,41.9,41.9,32.252850723266604,28.589221954345703,False,34.0,1,1.0,1,0.0011892593668444283
2,41.9,41.9,32.252850723266604,28.89738893508911,False,63.0,1,2.0,1,0.0021801277666128947
2,41.9,41.9,32.252850723266604,28.717568159103394,False,75.0,1,2.0,1,0.0026116417512958945
3,41.9,41.9,32.252850723266604,28.734811782836914,False,101.0,1,3.0,1,0.003514900350254827
3,41.9,41.9,32.252850723266604,28.747414588928223,False,100.0,1,3.0,1,0.0034785736884496736
4,41.9,41.9,32.252850723266604,28.807432889938354,False,136.0,1,4.0,1,0.004721003795083076
4,41.9,41.9,32.252850723266604,28.840932846069336,False,135.0,1,4.0,1,0.004680847208393914
5,41.9,41.9,32.252850723266604,28.96697735786438,False,138.0,1,4.0,1,0.004764045564544681
5,41.9,41.9,32.252850723266604,28.878873825073242,False,133.0,1,4.0,1,0.004605442747027296
6,41.9,41.9,32.252850723266604,28.849396228790283,False,199.0,1,6.0,1,0.006897891325760494
6,41.9,41.9,32.252850723266604,28.846446990966797,False,210.0,1,6.0,1,0.007279926018818229
7,41.9,41.9,32.252850723266604,29.12399411201477,False,206.0,1,6.0,1,0.0070732056601747854
7,41.9,41.9,32.252850723266604,28.860991716384888,False,204.0,1,6.0,1,0.007068364178358627
8,41.9,41.9,32.252850723266604,28.843217134475708,False,194.0,1,6.0,1,0.006726018082362795
8,41.9,41.9,32.252850723266604,28.918237686157227,False,200.0,1,6.0,1,0.0069160507694332055
9,41.9,41.9,32.252850723266604,29.046364068984985,False,201.0,1,6.0,1,0.006919971102841853
9,41.9,41.9,32.252850723266604,28.850319385528564,False,204.0,1,6.0,1,0.007070978912709272
10,41.9,41.9,32.252850723266604,28.84923505783081,False,198.0,1,6.0,1,0.006863266897825599
10,41.9,41.9,32.252850723266604,28.938612699508667,False,202.0,1,6.0,1,0.006980293150107698
