Percentage,MV,Augmented_MV,Budget,Exec_Time
1,43.1,43.1,30.43786201477051,30.45034646987915
2,46.0,46.0,32.252850723266604,31.530157566070557
3,46.0,46.0,34.06783943176269,31.380717754364014
4,46.0,46.0,35.88282814025879,31.3224196434021
5,50.3,50.3,37.69781684875488,35.654895305633545
6,50.3,50.3,39.51280555725098,35.762259006500244
7,50.3,50.3,41.32779426574707,35.70249390602112
8,50.3,50.3,43.14278297424316,35.62576389312744
9,50.3,50.3,44.957771682739256,35.71554446220398
10,50.3,50.3,46.77276039123535,36.03022813796997
