Percentage,MV,Augmented_MV,Budget,Exec_Time
1,22.900000000000002,22.900000000000002,30.43786201477051,30.620627880096436
2,22.900000000000002,22.900000000000002,32.252850723266604,28.830191135406494
3,22.900000000000002,22.900000000000002,34.06783943176269,28.814339876174927
4,22.900000000000002,22.900000000000002,35.88282814025879,28.77772855758667
5,22.900000000000002,22.900000000000002,37.69781684875488,29.09014868736267
6,22.900000000000002,22.900000000000002,39.51280555725098,28.895464420318604
7,22.900000000000002,22.900000000000002,41.32779426574707,28.7867329120636
8,22.900000000000002,22.900000000000002,43.14278297424316,28.825532913208008
9,22.900000000000002,22.900000000000002,44.957771682739256,28.833343982696533
10,22.900000000000002,22.900000000000002,46.77276039123535,28.811593770980835
