Percentage,MV,Augmented_MV,Budget,Exec_Time
1,50.2,0.0,30.43786201477051,45.79487156867981
2,50.2,0.0,32.252850723266604,44.52288746833801
3,50.2,0.0,34.06783943176269,44.460986375808716
4,50.2,0.0,35.88282814025879,44.17471957206726
5,50.2,0.0,37.69781684875488,44.27105641365051
6,50.2,0.0,39.51280555725098,44.472360610961914
7,50.2,0.0,41.32779426574707,44.301549673080444
8,50.2,50.2,43.14278297424316,44.47191119194031
9,50.2,50.2,44.957771682739256,44.310978174209595
10,50.2,50.2,46.77276039123535,44.37232708930969
