Unit,MV,Augmented_MV,Budget,Exec_Time,OverBudget,RC_TIME,RC_NUM,RC_by_budget,SUCCESS,overhead_pctg
1,29.21,29.21,35.44566969871521,27.363226890563965,False,31.0,1,1.0,1,0.001132907318423404
1,29.21,29.21,35.44566969871521,27.358804941177368,False,34.0,1,1.0,1,0.001242744340372377
2,29.21,29.21,35.44566969871521,27.435362577438354,False,66.0,1,2.0,1,0.0024056543744851223
2,29.21,29.21,35.44566969871521,27.454976558685303,False,67.0,1,2.0,1,0.0024403590313321444
3,29.21,29.21,35.44566969871521,27.437264442443848,False,126.0,1,4.0,1,0.004592294551241244
3,29.21,29.21,35.44566969871521,27.450848817825317,False,137.0,1,4.0,1,0.004990738206646583
4,29.21,29.21,35.44566969871521,27.48143482208252,False,165.0,1,5.0,1,0.006004053320659057
4,29.21,29.21,35.44566969871521,27.497966527938843,False,163.0,1,5.0,1,0.0059277110485383205
5,29.21,29.21,35.44566969871521,27.496695280075073,False,161.0,1,5.0,1,0.005855249089393859
5,29.21,29.21,35.44566969871521,27.567673921585083,False,166.0,1,5.0,1,0.0060215453966910295
6,29.21,29.21,35.44566969871521,27.576894760131836,False,268.0,1,8.0,1,0.009718280550841786
6,29.21,29.21,35.44566969871521,27.599304676055908,False,271.0,1,8.0,1,0.009819087950976864
7,29.21,29.21,35.44566969871521,27.631439208984375,False,277.0,1,8.0,1,0.010024812602230771
7,29.21,29.21,35.44566969871521,27.559616088867188,False,263.0,1,8.0,1,0.0095429486082805
8,29.21,29.21,35.44566969871521,27.57404136657715,False,267.0,1,8.0,1,0.009683020216384898
8,29.21,29.21,35.44566969871521,27.599581718444824,False,270.0,1,8.0,1,0.009782756954593944
9,29.21,29.21,35.44566969871521,27.593093633651733,False,268.0,1,8.0,1,0.009712575311713326
9,29.21,29.21,35.44566969871521,27.585944414138794,False,267.0,1,8.0,1,0.009678842094061236
10,29.21,29.21,35.44566969871521,27.584336757659912,False,269.0,1,8.0,1,0.009751911106773347
10,29.21,29.21,35.44566969871521,27.59066867828369,False,264.0,1,8.0,1,0.009568452402452698
