Percentage,MV,Augmented_MV,Budget,Exec_Time
1,24.14,24.14,25.84497265815735,25.239394426345825
2,23.39,23.39,26.805042362213136,25.215123414993286
3,33.040000000000006,33.040000000000006,27.76511206626892,26.35873556137085
4,33.040000000000006,33.040000000000006,28.725181770324706,26.29945683479309
5,33.040000000000006,33.040000000000006,29.685251474380493,26.312432050704956
6,33.040000000000006,33.040000000000006,30.64532117843628,26.29572892189026
7,33.040000000000006,33.040000000000006,31.605390882492067,26.334872245788574
8,33.040000000000006,33.040000000000006,32.56546058654785,26.335833072662354
9,33.040000000000006,33.040000000000006,33.52553029060364,26.27969264984131
10,33.040000000000006,33.040000000000006,34.485599994659424,26.312241315841675
