Percentage,MV,Augmented_MV,Budget,Exec_Time
1,25.55,25.55,25.84497265815735,25.762326955795288
2,28.439999999999998,28.439999999999998,26.805042362213136,25.784993886947632
3,28.799999999999997,28.799999999999997,27.76511206626892,25.865113496780396
4,28.22,28.22,28.725181770324706,25.842594385147095
5,28.93,28.93,29.685251474380493,25.909947633743286
6,29.24,29.24,30.64532117843628,25.905282258987427
7,25.82,25.82,31.605390882492067,25.94337224960327
8,29.020000000000003,29.020000000000003,32.56546058654785,25.927353858947754
9,28.16,28.16,33.52553029060364,26.051201343536377
10,27.29,27.29,34.485599994659424,25.92059898376465
