Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-4-learning-89-regular-1,swaptions:num-400000,2323.75,1.07,0.34862499999999996,0.1355,5983.75,0.69725,17.45,2.57375,0.30487499999999995,5.0975e-05,0.9121250000000001,0.026150000000000003,4.36375e-06,5.146249999999999,128.75,0.014996250000000001,2146.25,0.0016802499999999999,1.0458191201489893
batch-4-learning-89-regular-1,stress:cpu_0_io_3_vm_0_vmbytes_512K,1162.875,0.47974999999999995,0.041275,0.069175,694.25,0.0825625,2.063875,0.5753750000000001,4.903125,0.008877499999999998,0.90625,0.18593749999999998,0.000311725,1.1508749999999999,28.7625,0.0798875,2100.0,0.0132775,1.0497180932265788
batch-4-learning-89-regular-1,ferret:eyes-0-pyramid-18-selectivity-2,2280.0,1.06875,0.181,0.13537500000000002,3051.25,0.36224999999999996,9.05625,1.33875,0.6901249999999999,0.0002265,0.921875,0.05298750000000001,1.74125e-05,2.675,66.89999999999999,0.0346375,2105.0,0.0123725,1.055945024648739
batch-4-learning-89-regular-1,stress:cpu_2_io_1_vm_4_vmbytes_1M,13587.5,1.05,0.8828750000000001,0.804625,14912.5,1.7649999999999997,44.15,1.0975000000000001,171.125,0.011467499999999999,1.0,0.030475,2.04375e-06,2.19375,54.875,0.018637499999999998,2111.25,0.0031187499999999996,1.4718666143744967
batch-4-learning-89-regular-1,facedetect:eyes-2-pyramid-25-selectivity-2,2280.0,1.06875,0.18199999999999997,0.13525,3065.0,0.364,9.098749999999999,1.34375,0.720625,0.00023587499999999997,0.9221250000000001,0.055325,1.81375e-05,2.6875,67.2,0.03475,2105.0,0.011896249999999999,1.0534264880115318
batch-4-learning-89-regular-1,stress:cpu_1_io_0_vm_0_vmbytes_1M,2335.0,1.0675000000000001,0.3265,0.1365,5580.0,0.6528750000000001,16.3125,2.3912500000000003,0.35575000000000007,6.269999999999999e-05,0.869125,0.06305000000000001,1.0682499999999998e-05,4.7787500000000005,119.375,0.03463625,2136.25,0.0025364999999999997,1.0463719384153949
batch-1-learning-89-regular-3,swaptions:num-400000,2355.0,1.0675000000000001,0.352125,0.137625,6031.25,0.704375,17.625,2.5612500000000002,0.48799999999999993,8.02e-05,0.9051250000000001,0.0403375,6.6375e-06,5.13,128.375,0.022162499999999998,2141.25,0.0048075,1.024076033876026
batch-1-learning-89-regular-3,stress:cpu_0_io_3_vm_0_vmbytes_512K,985.1125,0.40575000000000006,0.029022500000000003,0.058567499999999995,487.5625,0.05801875,1.451475,0.494375,4.919375,0.01071,0.891875,0.095125,0.001132225,0.9890000000000001,24.725,0.0446125,2100.0,0.0037324999999999997,1.0431300435585633
batch-1-learning-89-regular-3,ferret:eyes-0-pyramid-18-selectivity-2,2287.5,1.0532500000000002,0.178125,0.13337500000000002,3052.5,0.35625,8.905,1.3350000000000002,0.79075,0.00026362499999999997,0.933625,0.052675000000000013,1.7675000000000003e-05,2.6700000000000004,66.75,0.033225000000000005,2141.25,0.010937500000000001,1.026312927231438
batch-1-learning-89-regular-3,stress:cpu_2_io_1_vm_4_vmbytes_1M,13675.0,1.05,0.7636250000000001,0.81475,12837.5,1.5274999999999999,38.2,0.9372499999999998,258.5,0.02015,1.0,0.029675000000000003,2.31875e-06,1.875,46.85,0.014275000000000001,2100.0,0.0030875,1.4766525979253835
