Unit,MV,Augmented_MV,Budget,Exec_Time,OverBudget,RC_TIME,RC_NUM,RC_by_budget,SUCCESS,overhead_pctg
1,90.9487811435241,90.9487811435241,55.65,55.0342350006104,False,31,1,1,1,0.000563285743858
1,90.9487811435241,90.9487811435241,55.65,54.697518825531,False,30,1,1,1,0.000548470947936
2,90.9487811435241,90.9487811435241,55.65,54.6953265666962,False,34,1,1,1,0.000621625322203
2,90.9487811435241,90.9487811435241,55.65,54.6745660305023,False,31,1,1,1,0.000566991240181
3,90.9974424609885,90.9974424609885,55.65,55.076602935791,False,66,2,2,1,0.001198330987787
3,90.9783072153942,90.9783072153942,55.65,55.0728330612183,False,68,2,2,1,0.001234728562528
4,91.0532538111681,91.0532538111681,55.65,55.0671508312225,False,67,2,2,1,0.001216696324191
4,90.9912183692967,90.9912183692967,55.65,55.0620377063751,False,63,2,2,1,0.001144163976204
5,90.9487811435241,90.9487811435241,55.65,55.4403448104858,False,32,1,1,1,0.000577196987309
5,90.9487811435241,90.9487811435241,55.65,54.8319404125214,False,32,1,1,1,0.000583601451257
6,90.9969794904981,90.9969794904981,55.65,55.0665349960327,False,66,2,2,1,0.001198550081365
6,91.0050554642083,91.0050554642083,55.65,55.0751147270203,False,65,2,2,1,0.001180206347679
7,90.9916813398013,90.9916813398013,55.65,55.0880026817322,False,65,2,2,1,0.001179930235909
7,90.9773812743708,90.9773812743708,55.65,55.0761859416962,False,63,2,2,1,0.001143870057863
8,91.0112795559144,91.0112795559144,55.65,55.0579578876495,False,65,2,2,1,0.001180574116691
8,91.0327296540459,91.0327296540459,55.65,55.0542576313019,False,62,2,2,1,0.001126161766002
9,91.0574578075227,91.0574578075227,55.65,55.0392253398895,False,64,2,2,1,0.001162807063595
9,90.9487811435241,90.9487811435241,55.65,55.1050720214844,False,31,1,1,1,0.000562561645649
10,91.1052150372456,91.1052150372456,55.65,55.036048412323,False,61,2,2,1,0.001108364458564
10,91.0052180390579,91.0052180390579,55.65,55.0507445335388,False,62,2,2,1,0.001126233632721
20,91.0169463346904,91.0169463346904,55.65,55.0717706680298,False,67,2,2,1,0.001216594258497
20,90.9487811435241,90.9487811435241,55.65,54.9792468547821,False,30,1,1,1,0.000545660439461
30,91.0694843502995,91.0694843502995,55.65,55.0667107105255,False,66,2,2,1,0.001198546256866
30,91.0227164641952,91.0227164641952,55.65,55.0734860897064,False,62,2,2,1,0.001125768575808
40,91.0675267476506,91.0675267476506,55.65,55.037770986557,False,67,2,2,1,0.001217345811777
40,91.0784314084196,91.0784314084196,55.65,55.0633685588837,False,67,2,2,1,0.001216779898388
50,91.0639496974284,91.0639496974284,55.65,55.0767621994019,False,96,3,3,1,0.001743021851075
50,91.0169463346904,91.0169463346904,55.65,55.0358769893646,False,64,2,2,1,0.001162877808095
11,91.0197930478773,91.0197930478773,55.65,55.0640826225281,False,67,2,2,1,0.00121676411935
11,91.0246536803214,91.0246536803214,55.65,55.0711119174957,False,67,2,2,1,0.001216608811174
12,91.0344875000106,91.0344875000106,55.65,55.039585351944,False,65,2,2,1,0.00118096819924
12,91.0045924937037,91.0045924937037,55.65,55.0727789402008,False,65,2,2,1,0.001180256403451
13,91.091796515002,91.091796515002,55.65,55.0303983688355,False,66,2,2,1,0.001199337129229
13,91.0590149323696,91.0590149323696,55.65,55.0655343532562,False,65,2,2,1,0.001180411681525
14,91.0574578075227,91.0574578075227,55.65,55.0365607738495,False,63,2,2,1,0.00114469362028
14,91.099104689107,91.099104689107,55.65,55.0637357234955,False,67,2,2,1,0.001216771784908
15,91.0389537457377,91.0389537457377,55.65,55.0787804126739,False,63,2,2,1,0.001143816176175
15,91.0805356987794,91.0805356987794,55.65,55.0714409351349,False,64,2,2,1,0.001162126846751
16,91.099104689107,91.099104689107,55.65,55.0306160449982,False,65,2,2,1,0.001181160682389
16,91.1136901070222,91.1136901070222,55.65,55.0424721240997,False,65,2,2,1,0.001180906261867
17,91.0009869137554,91.0009869137554,55.65,55.060524225235,False,67,2,2,1,0.001216842755182
17,91.0641078388181,91.0641078388181,55.65,55.0724771022797,False,69,2,2,1,0.001252894433491
18,91.0414839002414,91.0414839002414,55.65,55.0391564369202,False,68,2,2,1,0.001235484051757
18,91.0197930478773,91.0197930478773,55.65,55.0420346260071,False,63,2,2,1,0.001144579782126
19,91.0693750993943,91.0693750993943,55.65,55.1624324321747,False,70,2,2,1,0.001268979573844
19,91.0034608863128,91.0034608863128,55.65,55.0524501800537,False,64,2,2,1,0.001162527731112
20,91.0683209284713,91.0683209284713,55.65,55.0416083335877,False,69,2,2,1,0.001253597089348
20,91.0448050118333,91.0448050118333,55.65,55.0887851715088,False,68,2,2,1,0.00123437102104
