Percentage,MV,Augmented_MV,Budget,Exec_Time
1,-0.17585408203046882,-0.17585408203046882,6.555,5.959433555603027
2,31.001103923912865,31.001103923912865,12.01,11.9264497756958
3,17.80058598238554,17.80058598238554,17.464999999999996,16.956775188446045
4,67.68409737026104,67.68409737026104,22.92,21.945141315460205
5,10.485361453902442,10.485361453902442,28.375,28.00146770477295
6,-1.2487303175134912,-1.2487303175134912,33.82999999999999,32.94011855125427
7,17.43004823461547,17.43004823461547,39.285,38.871224880218506
8,57.43668170079275,57.43668170079275,44.74,43.63236403465271
9,74.62413080922659,74.62413080922659,50.195,49.176544189453125
10,90.32010124958845,90.32010124958845,55.65,54.399524450302124
