Percentage,MV,Augmented_MV,Budget,Exec_Time
1,-453.00462879332315,-453.00462879332315,6.555,1.128253698348999
2,-453.00462879332315,-453.00462879332315,12.01,1.1307337284088135
3,29.774960534865613,29.774960534865613,17.464999999999996,13.207038879394531
4,29.774960534865613,29.774960534865613,22.92,13.236658096313477
5,36.06933875728657,36.06933875728657,28.375,25.251535415649414
6,36.06933875728657,36.06933875728657,33.82999999999999,25.258919954299927
7,-11.802180416808028,-11.802180416808028,39.285,37.426854372024536
8,-11.802180416808028,-11.802180416808028,44.74,37.25003933906555
9,-11.802180416808028,-11.802180416808028,50.195,37.33385753631592
10,77.19599857631465,77.19599857631465,55.65,50.11675262451172
