Percentage,MV,Augmented_MV,Budget,Exec_Time
1,15.185015840302185,15.185015840302185,6.555,6.007882118225098
2,28.08793531784204,28.08793531784204,12.01,11.999211549758911
3,21.905737262528646,21.905737262528646,17.464999999999996,16.969176530838013
4,70.0885420289552,70.0885420289552,22.92,21.94552206993103
5,7.5113961849808675,7.5113961849808675,28.375,27.910706520080566
6,0.24719752825319574,0.24719752825319574,33.82999999999999,33.13088417053223
7,16.840178948385187,16.840178948385187,39.285,38.96030926704407
8,56.06200090849711,56.06200090849711,44.74,43.89983892440796
9,84.28833769713151,84.28833769713151,50.195,49.790422677993774
10,90.94878114352412,90.94878114352412,55.65,54.79641580581665
