Percentage,MV,Augmented_MV,Budget,Exec_Time
1,24.31457050064978,24.31457050064978,12.01,12.518184423446655
2,68.9283689642366,68.9283689642366,22.92,22.86799192428589
3,1.0698714946357768,1.0698714946357768,33.82999999999999,34.44168472290039
4,58.19730378188126,58.19730378188126,44.74,45.91851329803467
5,89.79754107829763,89.79754107829763,55.65,57.04197883605957
6,64.21585250990347,64.21585250990347,66.55999999999999,68.8299708366394
7,75.17370717117444,75.17370717117444,77.47,79.46782422065735
8,59.12737537032342,59.12737537032342,88.38,90.82873106002808
9,63.647170574881784,63.647170574881784,99.29,100.15608143806458
10,99.38525753777583,99.38525753777583,110.2,111.00085520744324
