ACYC-1,AFREQ-1,C0res%-1,C10res%-1,C1res%-1,C2res%-1,C3res%-1,C3res%-1,C6res%-1,C6res%-1,C7res%-1,C7res%-1,C8res%-1,C9res%-1,EXEC-1,FREQ-1,INST-1,INSTnom%-1,INSTnom-1,IPC-1,L2HIT-1,L2MISS-1,L2MPI-1,L3HIT-1,L3MISS-1,L3MPI-1,PhysIPC%-1,PhysIPC-1,READ-1,TIME(ticks)-1,WRITE-1,ACYC-2,AFREQ-2,C0res%-2,C10res%-2,C1res%-2,C2res%-2,C3res%-2,C3res%-2,C6res%-2,C6res%-2,C7res%-2,C7res%-2,C8res%-2,C9res%-2,EXEC-2,FREQ-2,INST-2,INSTnom%-2,INSTnom-2,IPC-2,L2HIT-2,L2MISS-2,L2MPI-2,L3HIT-2,L3MISS-2,L3MPI-2,PhysIPC%-2,PhysIPC-2,READ-2,TIME(ticks)-2,WRITE-2,ACYC-C,AFREQ-C,C0res%-C,C10res%-C,C1res%-C,C2res%-C,C3res%-C,C3res%-C,C6res%-C,C6res%-C,C7res%-C,C7res%-C,C8res%-C,C9res%-C,EXEC-C,FREQ-C,INST-C,INSTnom%-C,INSTnom-C,IPC-C,L2HIT-C,L2MISS-C,L2MPI-C,L3HIT-C,L3MISS-C,L3MPI-C,PhysIPC%-C,PhysIPC-C,READ-C,TIME(ticks)-C,WRITE-C
2.05e+05,1.04,51.6,0,21.8,17.5,0,0,0,0,0,0,0,0,0.812,0.536,3.1e+05,1.62,40.6,1.51,0.747,107,0.000345,0.497,36.9,0.000119,3.03,75.6,31.4,4.78e+04,55.2,2.1e+05,1.04,59.9,0,21.2,15.4,0,0,0,0,0,0,0,0,0.694,0.624,2.33e+05,1.39,34.7,1.11,0.683,137,0.000588,0.413,60.5,0.00026,2.22,55.6,51.4,4.2e+04,88.1,4.23e+05,1.05,87.4,0,12.6,0,0,0,0,0,0,0,0,0,1.14,0.913,5.29e+05,2.29,57.1,1.25,0.673,165,0.000313,0.372,82.5,0.000156,2.5,62.6,60.1,5.78e+04,125
2.03e+05,1.04,49.2,0,20.7,22.8,0,0,0,0,0,0,0,0,0.606,0.511,2.41e+05,1.21,30.3,1.19,0.722,137,0.000569,0.433,56.8,0.000236,2.37,59.3,48.3,4.96e+04,82.8,9.82e+04,1.04,33.4,0,31.2,3.77,0,0,0,0,0,0,0,0,0.509,0.349,1.43e+05,1.02,25.5,1.46,0.582,68.5,0.000478,0.362,38.9,0.000272,2.92,73,20.7,3.52e+04,48.8,4.65e+05,1.05,85.2,0,14.7,0,0,0,0,0,0,0,0,0,0.856,0.89,4.47e+05,1.71,42.8,0.962,0.712,311,0.000694,0.399,138,0.000308,1.92,48.1,107,6.53e+04,177
1.91e+05,1.02,64.7,0,29,4.95,0,0,0,0,0,0,0,0,0.717,0.658,2.08e+05,1.43,35.9,1.09,0.556,127,0.000613,0.233,86.4,0.000416,2.18,54.5,36.6,3.62e+04,92.4,1.89e+05,1.01,63.1,0,28.4,5.43,0,0,0,0,0,0,0,0,0.723,0.635,2.15e+05,1.45,36.1,1.14,0.624,122,0.000569,0.254,80.1,0.000373,2.28,56.9,35.5,3.71e+04,90.9,3.26e+05,1.05,94.6,0,5.43,0,0,0,0,0,0,0,0,0,0.907,0.988,2.99e+05,1.81,45.3,0.917,0.655,171,0.000573,0.23,115,0.000384,1.83,45.9,50.7,4.12e+04,138
1.64e+05,1.03,50.1,0,33.3,9.31,0,0,0,0,0,0,0,0,0.746,0.517,2.37e+05,1.49,37.3,1.44,0.611,110,0.000463,0.435,47.8,0.000202,2.89,72.2,34.6,3.96e+04,60.7,1.37e+05,1.04,32.1,0,30.6,24,0,0,0,0,0,0,0,0,0.591,0.333,2.44e+05,1.18,29.6,1.77,0.669,60.5,0.000248,0.463,28.9,0.000118,3.55,88.7,22.6,5.15e+04,51.8,4.32e+05,1.05,84.7,0,14.7,0,0,0,0,0,0,0,0,0,1.02,0.885,4.97e+05,2.03,50.8,1.15,0.713,300,0.000604,0.491,104,0.00021,2.3,57.4,88.1,6.11e+04,131
2.27e+05,1.03,73.1,0,16.2,8.94,0,0,0,0,0,0,0,0,0.778,0.752,2.35e+05,1.56,38.9,1.03,0.716,148,0.000629,0.323,82.7,0.000352,2.07,51.7,48.7,3.77e+04,94.9,1.49e+05,1.01,52.6,0,43.2,3.17,0,0,0,0,0,0,0,0,0.555,0.53,1.55e+05,1.11,27.7,1.05,0.549,111,0.000713,0.229,74.3,0.000478,2.09,52.3,34.8,3.5e+04,97.7,2.97e+05,1.01,99.2,0,0.841,0,0,0,0,0,0,0,0,0,0.794,1,2.36e+05,1.59,39.7,0.794,0.71,173,0.000734,0.269,106,0.000448,1.59,39.7,58.4,3.71e+04,127
1.46e+05,1.01,50.7,0,43.8,3.85,0,0,0,0,0,0,0,0,0.798,0.511,2.28e+05,1.6,39.9,1.56,0.594,81.5,0.000357,0.296,51.2,0.000224,3.12,78.1,23.4,3.57e+04,67.5,1.35e+05,1.01,44.7,0,37.8,9.64,0,0,0,0,0,0,0,0,0.535,0.451,1.61e+05,1.07,26.7,1.19,0.606,111,0.000688,0.308,66.3,0.000412,2.37,59.3,36.2,3.76e+04,78.6,2.7e+05,1.01,98,0,1.88,0,0,0,0,0,0,0,0,0,0.896,0.989,2.45e+05,1.79,44.8,0.906,0.721,153,0.000624,0.308,85.1,0.000348,1.81,45.3,54.3,3.41e+04,106
1.39e+05,1.01,47.4,0,38.2,5.91,0,0,0,0,0,0,0,0,0.56,0.478,1.63e+05,1.12,28,1.17,0.626,113,0.000689,0.31,64.5,0.000395,2.34,58.6,34.6,3.64e+04,79.2,2.04e+05,1.04,56.2,0,22,17.9,0,0,0,0,0,0,0,0,0.849,0.584,2.97e+05,1.7,42.4,1.45,0.752,81.5,0.000274,0.379,47,0.000158,2.91,72.7,31,4.37e+04,65.8,3.77e+05,1.04,85.1,0,14.9,0,0,0,0,0,0,0,0,0,0.857,0.887,3.65e+05,1.71,42.9,0.967,0.74,225,0.000618,0.348,121,0.000332,1.93,48.3,87.7,5.31e+04,154
2.03e+05,0.991,67.8,0,20.8,8.47,0,0,0,0,0,0,0,0,0.938,0.672,2.84e+05,1.88,46.9,1.4,0.723,120,0.000422,0.471,48.1,0.00017,2.79,69.8,39,3.78e+04,55,1.43e+05,1.01,50.2,0,40.5,3.09,0,0,0,0,0,0,0,0,0.659,0.506,1.86e+05,1.32,32.9,1.3,0.656,129,0.000692,0.489,45.1,0.000242,2.6,65.1,44.6,3.54e+04,71.3,3.54e+05,1.01,94,0,5.98,0,0,0,0,0,0,0,0,0,1.03,0.954,3.83e+05,2.06,51.6,1.08,0.727,238,0.00062,0.488,85.6,0.000223,2.17,54.1,80.2,4.64e+04,104
1.46e+05,1,52.1,0,44,2.39,0,0,0,0,0,0,0,0,0.782,0.522,2.19e+05,1.56,39.1,1.5,0.505,81.3,0.000371,0.253,54.1,0.000247,3,75,24.9,3.5e+04,69.1,1.37e+05,1.01,44,0,35.6,8.26,0,0,0,0,0,0,0,0,0.589,0.445,1.81e+05,1.18,29.5,1.33,0.687,113,0.000624,0.47,45.3,0.00025,2.65,66.3,40,3.84e+04,67.8,3.26e+05,1.03,84.6,0,15.4,0,0,0,0,0,0,0,0,0,0.949,0.868,3.56e+05,1.9,47.4,1.09,0.668,175,0.000492,0.308,98.2,0.000275,2.19,54.7,64.4,4.7e+04,124
1.79e+05,1,46.4,0,25.1,23.5,0,0,0,0,0,0,0,0,0.729,0.466,2.8e+05,1.46,36.5,1.57,0.687,73.7,0.000263,0.451,33.5,0.00012,3.13,78.3,23.6,4.81e+04,51.1,2.33e+05,1.01,76.7,0,14,5.42,0,0,0,0,0,0,0,0,0.674,0.773,2.03e+05,1.35,33.7,0.871,0.718,168,0.000826,0.332,88.8,0.000437,1.74,43.6,55.5,3.76e+04,99.7,4.88e+05,1.05,83.4,0,16.6,0,0,0,0,0,0,0,0,0,1.05,0.872,5.89e+05,2.11,52.7,1.21,0.711,220,0.000373,0.403,102,0.000174,2.42,60.4,79.3,6.99e+04,148
