;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C3res%;C6res%;C6res%;C7res%;C7res%;C8res%;C9res%;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);WRITE
layer-4-particle-533;1.34e+05;1.02;41.5;0;39.1;0;0;0;0;0;0;0;0;0;0.814;0.421;2.58e+05;1.63;40.7;1.93;0.629;56.2;0.000218;0.531;25.4;9.83e-05;3.86;96.6;479;22.2;3.96e+04;45;4.48868121299
;9.7e+04;0.974;99.1;0;0.858;0;0;0;0;0;0;0;0;0;1.18;0.965;1.18e+05;2.35;58.9;1.22;0.686;46.2;0.00039;0.571;18.8;0.000159;2.44;61;175;13.2;1.26e+04;23.4;1.45017752282
;2.09e+05;0.999;100;0;0.0491;0;0;0;0;0;0;0;0;0;1.07;0.999;2.24e+05;2.14;53.6;1.07;0.689;135;0.000602;0.472;58.9;0.000263;2.15;53.7;395;41.5;2.61e+04;58.8;3.00076872822
;9.54e+04;0.989;96.1;0;3.93;0;0;0;0;0;0;0;0;0;0.872;0.95;8.75e+04;1.74;43.6;0.918;0.696;85.3;0.000974;0.53;33.3;0.00038;1.84;45.9;174;24.1;1.25e+04;36.3;1.46375301469
;1.04e+05;1.05;99.1;0;0.909;0;0;0;0;0;0;0;0;0;1.23;1.04;1.23e+05;2.45;61.3;1.18;0.708;56.3;0.000458;0.563;21.5;0.000175;2.37;59.2;223;15.2;1.25e+04;23.3;1.47056880291
;1e+05;1.05;99.9;0;0.129;0;0;0;0;0;0;0;0;0;1.4;1.04;1.34e+05;2.79;69.8;1.34;0.725;28.4;0.000212;0.723;7.86;5.85e-05;2.68;66.9;215;7.27;1.2e+04;10.7;1.39753492021
;1.11e+05;1.04;99.9;0;0.0956;0;0;0;0;0;0;0;0;0;1.39;1.04;1.48e+05;2.79;69.6;1.33;0.667;32.3;0.000218;0.767;7.03;4.74e-05;2.67;66.7;238;7.91;1.33e+04;11.9;1.55028984871
;1.14e+05;1.05;99.9;0;0.0833;0;0;0;0;0;0;0;0;0;1.19;1.04;1.3e+05;2.37;59.4;1.14;0.63;61.6;0.000474;0.557;26;0.0002;2.27;56.9;236;13.6;1.37e+04;28.4;1.59622469029
;9.91e+04;0.99;99.9;0;0.106;0;0;0;0;0;0;0;0;0;1.18;0.989;1.18e+05;2.36;59.1;1.19;0.719;68;0.000575;0.63;18.5;0.000156;2.39;59.7;187;18;1.26e+04;20.3;1.43901713837
;8.66e+04;1.05;78.4;0;20.9;0;0;0;0;0;0;0;0;0;0.688;0.819;7.27e+04;1.38;34.4;0.84;0.707;83.6;0.00115;0.477;37.6;0.000516;1.68;42;199;23.6;1.32e+04;38.7;1.58891264865
;3.4e+04;1.05;37.4;0;42.1;0;0;0;0;0;0;0;0;0;0.644;0.391;5.6e+04;1.29;32.2;1.65;0.641;38.1;0.000681;0.603;14.7;0.000263;3.29;82.3;128;8.15;1.09e+04;14.6;1.32263737253
;3.9e+04;1;46.2;0;42.3;0;0;0;0;0;0;0;0;0;0.906;0.464;7.61e+04;1.81;45.3;1.95;0.664;29.5;0.000388;0.695;8.74;0.000115;3.9;97.5;130;6.5;1.05e+04;11.6;1.34021479612
;1e+05;1.05;99.9;0;0.131;0;0;0;0;0;0;0;0;0;1.38;1.04;1.33e+05;2.77;69.2;1.33;0.717;27.4;0.000206;0.719;7.19;5.41e-05;2.65;66.3;214;7.29;1.2e+04;12.4;1.39860310205
;9.8e+04;1.05;99.9;0;0.1;0;0;0;0;0;0;0;0;0;1.32;1.04;1.24e+05;2.63;65.8;1.26;0.749;39;0.000315;0.742;9.99;8.09e-05;2.52;63.1;207;9.4;1.18e+04;15.3;1.358636511
;7.07e+04;0.995;60.9;0;38.9;0;0;0;0;0;0;0;0;0;0.649;0.606;7.57e+04;1.3;32.4;1.07;0.612;63.4;0.000837;0.587;22.5;0.000297;2.14;53.6;181;17.4;1.46e+04;42.4;1.73526027725
;9.97e+04;1.05;99.9;0;0.0989;0;0;0;0;0;0;0;0;0;1.12;1.04;1.07e+05;2.25;56.2;1.08;0.74;61;0.000568;0.6;20;0.000186;2.16;53.9;210;17;1.19e+04;28;1.39657241471
;9.63e+04;1;99.9;0;0.0816;0;0;0;0;0;0;0;0;0;1.16;1;1.11e+05;2.32;58;1.16;0.647;51.4;0.000462;0.664;15.7;0.000141;2.31;57.8;182;12.2;1.2e+04;23.7;1.41742155099
;1.1e+05;1.01;99.9;0;0.0609;0;0;0;0;0;0;0;0;0;1.14;1.01;1.24e+05;2.27;56.9;1.12;0.67;71.5;0.000577;0.583;27.5;0.000222;2.25;56.2;215;18.4;1.36e+04;27.8;1.58889943911
;1.34e+05;1.05;85.1;0;14.8;0;0;0;0;0;0;0;0;0;1.14;0.889;1.71e+05;2.28;57;1.28;0.643;56.7;0.00033;0.602;20.6;0.00012;2.57;64.2;321;16.9;1.88e+04;37.9;2.15926275527
;9.75e+04;1.05;97.1;0;2.9;0;0;0;0;0;0;0;0;0;1.11;1.01;1.06e+05;2.22;55.4;1.09;0.676;65.8;0.000618;0.577;25.1;0.000236;2.18;54.6;206;15.8;1.2e+04;28.8;1.39398334433

layer-1-particle-4000;4.87e+04;1.04;50.2;0;36.2;0;0;0;0;0;0;0;0;0;0.644;0.521;6.03e+04;1.29;32.2;1.24;0.655;60.4;0.001;0.693;17.2;0.000285;2.48;61.9;146;11.6;1.17e+04;24;1.0485110097
;1.69e+05;1;90.8;0;8.78;0;0;0;0;0;0;0;0;0;1.01;0.911;1.88e+05;2.03;50.7;1.11;0.623;129;0.000687;0.498;60.4;0.000321;2.22;55.6;344;30.3;2.32e+04;57.4;2.00636954905
;1.29e+05;1.03;99.9;0;0.0641;0;0;0;0;0;0;0;0;0;1.12;1.03;1.4e+05;2.24;56.1;1.09;0.689;113;0.000803;0.669;33.5;0.000238;2.17;54.3;265;25.6;1.57e+04;33.2;1.37414978361
;1.36e+05;1.01;99.9;0;0.124;0;0;0;0;0;0;0;0;0;1.16;1.01;1.56e+05;2.32;57.9;1.15;0.723;78.8;0.000506;0.565;32.4;0.000208;2.3;57.4;266;21.2;1.68e+04;36.5;1.44829326806
;1.34e+05;1.01;99.8;0;0.186;0;0;0;0;0;0;0;0;0;0.766;1.01;1.02e+05;1.53;38.3;0.761;0.699;199;0.00195;0.717;44.1;0.000432;1.52;38.1;243;45.6;1.66e+04;43.8;1.44716624291
;1.5e+05;1.03;99.9;0;0.069;0;0;0;0;0;0;0;0;0;1.21;1.02;1.77e+05;2.41;60.3;1.18;0.622;90.1;0.000509;0.691;26.3;0.000148;2.35;58.8;302;16.9;1.83e+04;34.7;1.59126966883
;3.9e+05;0.999;99.9;0;0.0533;0;0;0;0;0;0;0;0;0;1.31;0.999;5.1e+05;2.61;65.4;1.31;0.73;81.1;0.000159;0.592;32.3;6.34e-05;2.62;65.5;745;27.2;4.88e+04;46.6;4.16235916186
;6.13e+04;1.01;62.4;0;37.5;0;0;0;0;0;0;0;0;0;0.95;0.631;9.24e+04;1.9;47.5;1.51;0.652;63.5;0.000688;0.713;17.3;0.000187;3.01;75.4;170;11.3;1.22e+04;23.2;1.08746862216
;1.39e+05;0.986;99.9;0;0.0965;0;0;0;0;0;0;0;0;0;1.12;0.985;1.58e+05;2.24;56;1.14;0.629;86.4;0.000546;0.624;30;0.000189;2.27;56.9;251;18.5;1.76e+04;39.2;1.52535575021
;4.9e+04;0.992;50.5;0;41.2;0;0;0;0;0;0;0;0;0;0.686;0.501;6.71e+04;1.37;34.3;1.37;0.67;58.9;0.000877;0.742;13.7;0.000204;2.74;68.5;140;11.8;1.22e+04;25.4;1.09620363558
;1.29e+05;1.02;94.7;0;5.34;0;0;0;0;0;0;0;0;0;1.01;0.964;1.35e+05;2.01;50.3;1.04;0.706;101;0.000748;0.609;35.6;0.000265;2.09;52.2;261;26.2;1.67e+04;43.9;1.4603368494
;7.17e+04;1.05;65.9;0;32.7;0;0;0;0;0;0;0;0;0;0.689;0.689;7.18e+04;1.38;34.5;1;0.677;75.5;0.00105;0.644;24.3;0.000338;2;50.1;190;17.5;1.3e+04;37.8;1.17936264761
;7.08e+04;0.982;68;0;25.6;0;0;0;0;0;0;0;0;0;0.771;0.668;8.17e+04;1.54;38.6;1.15;0.724;98.6;0.00121;0.698;24.3;0.000298;2.31;57.7;161;23.9;1.32e+04;25.4;1.24444192928
;1.28e+05;0.998;97.4;0;2.63;0;0;0;0;0;0;0;0;0;1.05;0.972;1.38e+05;2.09;52.3;1.08;0.614;93.7;0.000679;0.666;29.3;0.000212;2.15;53.8;241;18.3;1.65e+04;40.5;1.44675780892
;1.58e+05;0.989;99.9;0;0.104;0;0;0;0;0;0;0;0;0;1.14;0.988;1.82e+05;2.27;56.8;1.15;0.679;86.8;0.000477;0.523;39.4;0.000216;2.3;57.5;287;20;2e+04;39.8;1.73519346802
;1.29e+05;1.03;99.9;0;0.127;0;0;0;0;0;0;0;0;0;1.1;1.03;1.39e+05;2.21;55.2;1.08;0.65;103;0.000738;0.641;34.5;0.000248;2.15;53.8;260;21.2;1.58e+04;35.7;1.36589545909
;8.09e+04;1.02;75.2;0;24.7;0;0;0;0;0;0;0;0;0;1.1;0.765;1.16e+05;2.2;55.1;1.44;0.686;53.2;0.000457;0.785;10.9;9.4e-05;2.88;72;194;9.59;1.32e+04;15.3;1.15047415396
;1.45e+05;1.01;56.6;0;43.1;0;0;0;0;0;0;0;0;0;0.884;0.573;2.24e+05;1.77;44.2;1.54;0.594;110;0.000494;0.525;48.5;0.000217;3.08;77.1;438;26.9;3.16e+04;62.4;2.72036832493
;1.31e+05;1;99.9;0;0.11;0;0;0;0;0;0;0;0;0;1.18;1;1.55e+05;2.36;59.1;1.18;0.676;72.8;0.00047;0.586;28.8;0.000186;2.36;59;251;16;1.64e+04;31.5;1.41976756485
;1.31e+05;1.02;66.1;0;33.2;0;0;0;0;0;0;0;0;0;0.918;0.677;1.78e+05;1.84;45.9;1.36;0.715;100;0.000564;0.554;41.9;0.000235;2.71;67.8;360;28;2.42e+04;53;2.13742489867

layer-3-particle-2266;2.26e+05;1.02;87.7;0;12.3;0;0;0;0;0;0;0;0;0;0.793;0.891;2.01e+05;1.59;39.6;0.89;0.703;203;0.00101;0.589;71;0.000353;1.78;44.5;456;54;3.17e+04;90.5;2.19144612017
;8.23e+04;0.987;64.1;0;34.9;0;0;0;0;0;0;0;0;0;0.891;0.632;1.16e+05;1.78;44.5;1.41;0.717;75.6;0.000652;0.733;19;0.000164;2.82;70.5;205;14.6;1.63e+04;32.1;1.18487186719
;1.76e+05;0.991;99.9;0;0.122;0;0;0;0;0;0;0;0;0;0.799;0.99;1.42e+05;1.6;40;0.808;0.678;312;0.0022;0.764;54.9;0.000386;1.62;40.4;310;63.2;2.22e+04;53.2;1.54785573385
;1.84e+05;1.03;99.9;0;0.111;0;0;0;0;0;0;0;0;0;1.37;1.03;2.46e+05;2.74;68.4;1.33;0.701;70.2;0.000285;0.838;11.1;4.5e-05;2.67;66.7;384;12.7;2.25e+04;20.5;1.57907992371
;2.96e+05;1.01;84.7;0;15.3;0;0;0;0;0;0;0;0;0;0.706;0.859;2.43e+05;1.41;35.3;0.821;0.738;295;0.00121;0.539;108;0.000445;1.64;41.1;616;85.7;4.3e+04;130;2.98099249195
;3.73e+05;0.999;100;0;0.0433;0;0;0;0;0;0;0;0;0;1.19;0.999;4.44e+05;2.38;59.6;1.19;0.658;143;0.000322;0.547;60.1;0.000135;2.38;59.6;707;37.9;4.66e+04;85.9;3.23030915423
;1.8e+05;1;99.9;0;0.139;0;0;0;0;0;0;0;0;0;1.24;1;2.23e+05;2.48;62;1.24;0.679;96.2;0.000432;0.634;34.4;0.000154;2.48;61.9;342;18.2;2.25e+04;33.2;1.5594016932
