;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C6res%;C7res%;C8res%;C9res%;Date;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);Time;WRITE;
layer 5 particle 2700;2.04e+04;1.05;10.9;0;13;17.8;0;0;0;0;0;2018-11-05;0.253;0.115;4.48e+04;0.505;12.6;2.2;0.743;92.5;0.00206;0.992;0.719;1.6e-05;4.4;110;116;0.643;2.22e+04;20:06:47.828;0.248;
layer 2 particle 2266;8.57e+03;1.04;8.89;0;10;32.8;0;0;0;0;0;2018-11-05;0.209;0.0926;1.94e+04;0.419;10.5;2.26;0.705;36.8;0.0019;0.987;0.46;2.38e-05;4.52;113;51.2;0.464;1.16e+04;20:05:17.550;0.173;
layer 1 particle 533;3.33e+03;0.996;6.2;0;19.6;47.3;0;0;0;0;0;2018-11-05;0.152;0.0617;8.21e+03;0.304;7.6;2.46;0.7;6.48;0.00079;0.951;0.312;3.8e-05;4.92;123;23.2;0.323;6.75e+03;20:06:27.445;0.107;
layer 2 particle 1399;6.51e+03;1.03;8.31;0;10.5;33.6;0;0;0;0;0;2018-11-05;0.195;0.0858;1.48e+04;0.39;9.76;2.27;0.771;18.6;0.00126;0.975;0.455;3.08e-05;4.55;114;39.5;0.438;9.49e+03;20:04:38.698;0.162;
layer 3 particle 2700;1.35e+04;1.05;10.2;0;11.5;23.2;0;0;0;0;0;2018-11-05;0.235;0.107;2.98e+04;0.471;11.8;2.2;0.732;59.2;0.00199;0.99;0.594;2e-05;4.41;110;77.4;0.56;1.58e+04;20:05:38.216;0.231;
layer 3 particle 533;4.62e+03;1.02;7.1;0;7.79;49.7;0;0;0;0;0;2018-11-05;0.174;0.0723;1.11e+04;0.348;8.7;2.41;0.729;12.8;0.00115;0.973;0.35;3.15e-05;4.81;120;29.4;0.372;7.98e+03;20:04:52.589;0.133;
layer 5 particle 3133;2.36e+04;1.05;11.3;0;13.3;15.9;0;0;0;0;0;2018-11-05;0.259;0.119;5.15e+04;0.518;13;2.18;0.763;98.8;0.00192;0.991;0.857;1.66e-05;4.36;109;133;0.733;2.48e+04;20:06:53.804;0.313;
layer 1 particle 966;3.85e+03;1.02;6.54;0;10;49.7;0;0;0;0;0;2018-11-05;0.162;0.0664;9.41e+03;0.324;8.11;2.44;0.708;9.27;0.000985;0.964;0.327;3.48e-05;4.89;122;26.2;0.334;7.26e+03;20:05:29.246;0.112;
layer 5 particle 1833;1.48e+04;1.05;10.3;0;12.6;23.4;0;0;0;0;0;2018-11-05;0.24;0.109;3.28e+04;0.481;12;2.21;0.725;67.5;0.00206;0.991;0.585;1.78e-05;4.42;111;83.3;0.557;1.71e+04;20:04:46.538;0.218;
layer 3 particle 4000;1.86e+04;1.06;10.7;0;11.1;19.6;0;0;0;0;0;2018-11-05;0.247;0.113;4.07e+04;0.494;12.4;2.18;0.753;79.7;0.00196;0.991;0.73;1.79e-05;4.36;109;106;0.688;2.06e+04;20:06:39.591;0.289;
layer 2 particle 3133;1.09e+04;1.05;9.5;0;9.94;28.6;0;0;0;0;0;2018-11-05;0.221;0.0994;2.42e+04;0.443;11.1;2.23;0.714;48.4;0.002;0.99;0.501;2.07e-05;4.45;111;64.2;0.514;1.37e+04;20:06:23.136;0.198;
layer 4 particle 966;7.6e+03;1.04;8.52;0;13.5;29.4;0;0;0;0;0;2018-11-05;0.205;0.0889;1.75e+04;0.41;10.3;2.31;0.732;28.5;0.00163;0.984;0.449;2.57e-05;4.61;115;47;0.406;1.07e+04;20:06:25.761;0.135;
layer 3 particle 966;6.28e+03;1.03;7.97;0;11.2;38;0;0;0;0;0;2018-11-05;0.192;0.0823;1.47e+04;0.384;9.61;2.33;0.719;22.9;0.00156;0.983;0.384;2.62e-05;4.67;117;39.5;0.373;9.54e+03;20:05:50.309;0.134;
layer 3 particle 100;2.9e+03;0.951;5.87;0;8.21;58.6;0;0;0;0;0;2018-11-05;0.143;0.0558;7.43e+03;0.286;7.14;2.56;0.708;3.94;0.00053;0.916;0.323;4.34e-05;5.12;128;19.9;0.344;6.5e+03;20:04:48.152;0.122;
layer 4 particle 1399;1.02e+04;1.03;9.65;0;11.5;27.5;0;0;0;0;0;2018-11-05;0.223;0.0999;2.28e+04;0.446;11.1;2.23;0.702;45.9;0.00202;0.989;0.514;2.26e-05;4.46;112;59.7;0.482;1.28e+04;20:06:15.571;0.186;
layer 4 particle 2266;1.5e+04;0.891;9.08;0;11.5;27.3;0;0;0;0;0;2018-11-05;0.176;0.081;3.25e+04;0.351;8.79;2.17;0.73;66.5;0.00205;0.987;0.848;2.61e-05;4.34;109;88;0.798;2.31e+04;20:04:36.361;0.328;
