Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
layer-5-particle-2700,ferret:eyes-0-pyramid-22-selectivity-1,2302.22222222,1.06666666667,0.182222222222,0.133888888889,3132.22222222,0.364666666667,9.11333333333,1.35888888889,0.924111111111,0.596555555556,0.000192222222222,0.962666666667,0.0249333333333,8.10666666667e-06,2.71888888889,67.9666666667,0.0157066666667,2146.66666667,0.00719,1.02476069537
layer-5-particle-2700,ferret:eyes-1-pyramid-13-selectivity-2,2252.22222222,1.06666666667,0.181666666667,0.133777777778,3061.11111111,0.363222222222,9.08444444444,1.35777777778,0.940666666667,0.466222222222,0.000153222222222,0.958888888889,0.0221333333333,7.30111111111e-06,2.71777777778,67.9,0.0130222222222,2105.55555556,0.00617222222222,1.01833282197
layer-5-particle-2700,facedetect:eyes-2-pyramid-7-selectivity-1,2263.33333333,1.06888888889,0.181,0.134,3050.0,0.362111111111,9.05111111111,1.35,0.935333333333,0.506222222222,0.000165777777778,0.958333333333,0.0238888888889,7.81111111111e-06,2.7,67.4666666667,0.0191777777778,2106.66666667,0.0104133333333,1.02551732418
layer-5-particle-2700,swaptions:num-600000,2292.22222222,1.06888888889,0.354,0.133777777778,6064.44444444,0.708111111111,17.7222222222,2.64666666667,0.989555555556,0.0485,8.00444444444e-06,0.851111111111,0.00714177777778,1.18577777778e-06,5.28888888889,132.111111111,0.003319,2141.11111111,0.000539111111111,1.02048089421
layer-5-particle-2700,ferret:eyes-1-pyramid-9-selectivity-2,2294.44444444,1.06888888889,0.182,0.134111111111,3114.44444444,0.364111111111,9.10111111111,1.35777777778,0.941333333333,0.481555555556,0.000154888888889,0.964888888889,0.0203177777778,6.53555555556e-06,2.71444444444,67.9,0.0137755555556,2138.88888889,0.00709777777778,1.01675423013
layer-5-particle-2700,swaptions:num-400000,2295.55555556,1.07,0.352777777778,0.133888888889,6047.77777778,0.705888888889,17.6444444444,2.63333333333,0.989444444444,0.0490666666667,8.12444444444e-06,0.847111111111,0.00757444444444,1.25433333333e-06,5.26666666667,131.777777778,0.00368011111111,2143.33333333,0.000614555555556,1.02340299171
layer-5-particle-2700,facedetect:eyes-2-pyramid-22-selectivity-1,2247.77777778,1.06777777778,0.181777777778,0.133777777778,3054.44444444,0.363444444444,9.08444444444,1.35777777778,0.930666666667,0.539777777778,0.000177444444444,0.966444444444,0.0214355555556,7.08111111111e-06,2.71777777778,67.9111111111,0.0128177777778,2100.0,0.0064,1.02047956802
layer-5-particle-2700,ferret:eyes-2-pyramid-20-selectivity-2,2268.88888889,1.06666666667,0.181222222222,0.135111111111,3046.66666667,0.362333333333,9.06333333333,1.34333333333,0.888666666667,0.845777777778,0.000276555555556,0.974888888889,0.0239466666667,7.87777777778e-06,2.68444444444,67.1111111111,0.0159077777778,2100.0,0.00690555555556,1.0192085736
layer-5-particle-2700,facedetect:eyes-2-pyramid-9-selectivity-2,2258.88888889,1.06888888889,0.182111111111,0.133888888889,3070.0,0.364111111111,9.10333333333,1.35888888889,0.941111111111,0.477555555556,0.000156,0.960444444444,0.0227311111111,7.46333333333e-06,2.71777777778,67.9444444444,0.0142933333333,2106.66666667,0.00721,1.02743541995
layer-5-particle-2700,facedetect:eyes-2-pyramid-9-selectivity-1,2301.11111111,1.06888888889,0.181111111111,0.134222222222,3103.33333333,0.362444444444,9.05888888889,1.34777777778,0.935111111111,0.522666666667,0.000168444444444,0.956222222222,0.0257777777778,8.30333333333e-06,2.69666666667,67.4555555556,0.0194555555556,2140.0,0.00982111111111,1.0191717524
layer-5-particle-2700,ferret:eyes-2-pyramid-9-selectivity-2,2302.22222222,1.06888888889,0.182111111111,0.134555555556,3115.55555556,0.364111111111,9.1,1.35444444444,0.941222222222,0.488666666667,0.000157888888889,0.959555555556,0.0226888888889,7.34777777778e-06,2.70555555556,67.6666666667,0.0149233333333,2138.88888889,0.00741333333333,1.02807522727
layer-5-particle-2700,swaptions:num-600000,2248.88888889,1.06888888889,0.355,0.133888888889,5964.44444444,0.709777777778,17.7444444444,2.65111111111,0.990666666667,0.0423333333333,7.09777777778e-06,0.835111111111,0.00677444444444,1.13711111111e-06,5.30222222222,132.777777778,0.00309188888889,2100.0,0.000514888888889,1.01939470787
layer-5-particle-2700,facedetect:eyes-2-pyramid-16-selectivity-2,2263.33333333,1.06888888889,0.180666666667,0.134222222222,3052.22222222,0.362,9.04555555556,1.34666666667,0.905888888889,0.734222222222,0.000240888888889,0.970111111111,0.0242822222222,7.96777777778e-06,2.69555555556,67.3666666667,0.0146722222222,2106.66666667,0.00679,1.02499905802
layer-5-particle-2700,ferret:eyes-1-pyramid-11-selectivity-1,2255.55555556,1.06888888889,0.181222222222,0.134,3043.33333333,0.362111111111,9.05333333333,1.34888888889,0.936555555556,0.493555555556,0.000162222222222,0.961111111111,0.0220566666667,7.24666666667e-06,2.69777777778,67.4444444444,0.01725,2100.0,0.00876,1.02047878791
layer-5-particle-2700,swaptions:num-100000,2506.66666667,1.06555555556,0.363666666667,0.146222222222,6232.22222222,0.727777777778,18.2,2.52111111111,0.936111111111,0.563266666667,8.15111111111e-05,0.853222222222,0.0604922222222,8.74055555556e-06,5.04111111111,126.111111111,0.0442622222222,2144.44444444,0.0144706666667,1.02206225544
