Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
layer-5-particle-100,2380.0,1.05,0.385,0.14,6530.0,0.77,19.2,2.75,0.751,3.55,0.000544,0.97,0.102,1.57e-05,5.5,137.0,0.164,2150.0,0.0559
layer-2-particle-2266,2295.0,1.0525,0.31525,0.13425,5387.5,0.631,15.775,2.3475,0.825,6.0475,0.001125,0.9925,0.04505,8.3675e-06,4.6975,117.5,0.0742,2140.0,0.030375
layer-4-particle-2266,2275.0,1.06375,0.30325,0.134625,5130.0,0.606375,15.1625,2.25375,0.773625,8.8875,0.00173375,0.996625,0.02915,5.6925e-06,4.505,112.625,0.0459625,2115.0,0.0188
layer-2-particle-1833,2290.0,1.045,0.317,0.134,5425.0,0.63425,15.825,2.3675,0.772,7.4125,0.00137,0.993,0.0518,9.56e-06,4.7325,118.5,0.0838,2137.5,0.03295
layer-1-particle-2700,2306.66666667,1.06,0.328,0.136,5560.0,0.656,16.4,2.40666666667,0.741333333333,8.01666666667,0.00144333333333,0.993,0.0567666666667,1.02166666667e-05,4.82333333333,120.666666667,0.0955,2133.33333333,0.0358666666667
layer-2-particle-3133,2285.0,1.06833333333,0.311166666667,0.135166666667,5246.66666667,0.622333333333,15.55,2.29833333333,0.804333333333,7.21833333333,0.001375,0.994666666667,0.0381166666667,7.26166666667e-06,4.59666666667,114.833333333,0.06365,2108.33333333,0.0282666666667
layer-4-particle-4000,2294.28571429,1.061,0.2965,0.133928571429,5075.0,0.593142857143,14.8428571429,2.21428571429,0.809428571429,8.00857142857,0.00157714285714,0.995928571429,0.0336,6.59571428571e-06,4.42571428571,110.571428571,0.0394571428571,2137.85714286,0.0176357142857
layer-3-particle-2266,2310.0,1.06833333333,0.31,0.1355,5295.0,0.6205,15.5166666667,2.29166666667,0.783833333333,8.31833333333,0.00157166666667,0.995333333333,0.0372666666667,7.035e-06,4.585,114.666666667,0.0558333333333,2133.33333333,0.0230666666667
layer-3-particle-2700,2307.14285714,1.06714285714,0.306428571429,0.135571428571,5222.85714286,0.613142857143,15.3428571429,2.26428571429,0.779857142857,8.51285714286,0.00163285714286,0.995142857143,0.0403,7.71142857143e-06,4.52285714286,113.142857143,0.0581285714286,2128.57142857,0.0249571428571
layer-5-particle-2266,2273.0,1.0525,0.2973,0.1325,5090.0,0.5945,14.85,2.241,0.8045,7.929,0.001559,0.9969,0.0243,4.829e-06,4.481,111.9,0.03789,2140.0,0.01539
layer-5-particle-1399,2281.66666667,1.06666666667,0.310333333333,0.134833333333,5250.0,0.6205,15.5166666667,2.3,0.824166666667,6.67333333333,0.00127,0.995333333333,0.03115,5.91833333333e-06,4.60166666667,114.833333333,0.04825,2113.33333333,0.0168
layer-2-particle-966,2335.0,1.055,0.34,0.137,5805.0,0.6805,17.0,2.485,0.7645,6.35,0.00109,0.9895,0.06575,1.132e-05,4.97,124.5,0.1085,2135.0,0.03715
layer-2-particle-1399,2276.66666667,1.05333333333,0.327,0.134333333333,5543.33333333,0.654333333333,16.3666666667,2.43333333333,0.781333333333,6.57666666667,0.00118666666667,0.992,0.0514,9.34333333333e-06,4.86666666667,121.333333333,0.0863,2116.66666667,0.0304333333333
layer-5-particle-3133,2303.84615385,1.06615384615,0.297692307692,0.134384615385,5107.69230769,0.595538461538,14.9,2.21769230769,0.821615384615,7.52076923077,0.00147230769231,0.996615384615,0.0247461538462,4.84384615385e-06,4.43461538462,110.769230769,0.0349230769231,2143.84615385,0.0156769230769
layer-3-particle-1399,2242.5,1.026,0.31025,0.1315,5300.0,0.62075,15.5,2.3625,0.758,8.0775,0.001525,0.9945,0.04355,8.25e-06,4.7225,118.0,0.069175,2140.0,0.024075
