Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
eyes-0-pyramid-18-selectivity-1,swaptions:num-900000,2248.88888889,1.06555555556,0.350777777778,0.133444444444,5916.66666667,0.701555555556,17.5222222222,2.63,0.989666666667,0.0467444444444,7.92666666667e-06,0.810555555556,0.00848333333333,1.44333333333e-06,5.26111111111,131.555555556,0.00357666666667,2106.66666667,0.000643111111111,1.01771026614
eyes-0-pyramid-18-selectivity-1,swaptions:num-1000000,2250.0,1.06888888889,0.352777777778,0.134,5932.22222222,0.705888888889,17.6555555556,2.63777777778,0.980555555556,0.0873111111111,1.47388888889e-05,0.876444444444,0.00877,1.47766666667e-06,5.27,131.777777778,0.00421555555556,2100.0,0.000768777777778,1.01814459579
eyes-0-pyramid-18-selectivity-1,swaptions:num-700000,2257.77777778,1.06777777778,0.354444444444,0.133888888889,5977.77777778,0.708666666667,17.7222222222,2.64666666667,0.979555555556,0.0937666666667,1.57288888889e-05,0.894111111111,0.0102424444444,1.72111111111e-06,5.29555555556,132.444444444,0.00440855555556,2106.66666667,0.000746444444444,1.01685007639
eyes-0-pyramid-18-selectivity-1,swaptions:num-300000,2246.66666667,1.06444444444,0.351,0.133333333333,5916.66666667,0.701555555556,17.5333333333,2.63222222222,0.989555555556,0.0478444444444,8.10777777778e-06,0.868666666667,0.00654111111111,1.10877777778e-06,5.26555555556,131.555555556,0.00360711111111,2106.66666667,0.000645888888889,1.01887468797
eyes-0-pyramid-18-selectivity-1,ferret:eyes-1-pyramid-16-selectivity-0,2317.77777778,1.06888888889,0.181666666667,0.135111111111,3118.88888889,0.363222222222,9.08222222222,1.34666666667,0.923,0.597444444444,0.000191777777778,0.944777777778,0.0353888888889,1.13455555556e-05,2.69111111111,67.3111111111,0.0292666666667,2146.66666667,0.0165522222222,1.01972448751
eyes-0-pyramid-18-selectivity-1,bodytrack:layer-1-particle-2700,2332.22222222,1.06444444444,0.329888888889,0.136222222222,5647.77777778,0.659888888889,16.4777777778,2.42111111111,0.778111111111,6.94555555556,0.00123,0.991888888889,0.0545,9.63555555556e-06,4.84222222222,121.111111111,0.0883,2144.44444444,0.0342222222222,1.01307687667
eyes-0-pyramid-18-selectivity-1,swaptions:num-200000,2275.55555556,1.06777777778,0.354333333333,0.135333333333,5954.44444444,0.708555555556,17.7222222222,2.61777777778,0.963777777778,0.197522222222,3.29166666667e-05,0.836777777778,0.0160422222222,2.69188888889e-06,5.23333333333,130.777777778,0.00758444444444,2100.0,0.00130477777778,1.0181436933
eyes-0-pyramid-18-selectivity-1,bodytrack:layer-3-particle-2266,2320.0,1.06666666667,0.309333333333,0.134888888889,5313.33333333,0.618222222222,15.4555555556,2.29111111111,0.755333333333,9.37333333333,0.00176333333333,0.996111111111,0.0364111111111,6.83888888889e-06,4.57888888889,114.555555556,0.0523888888889,2148.88888889,0.0215444444444,1.01924564654
eyes-0-pyramid-18-selectivity-1,ferret:eyes-0-pyramid-16-selectivity-2,2306.66666667,1.06888888889,0.181777777778,0.134444444444,3117.77777778,0.363444444444,9.08444444444,1.35222222222,0.934888888889,0.518555555556,0.000167111111111,0.958333333333,0.0248888888889,8.07111111111e-06,2.70444444444,67.6333333333,0.0144144444444,2144.44444444,0.00675888888889,1.01902717426
eyes-0-pyramid-18-selectivity-1,ferret:eyes-2-pyramid-18-selectivity-2,2251.11111111,1.07,0.181,0.134,3042.22222222,0.362111111111,9.05222222222,1.35111111111,0.941666666667,0.453888888889,0.000149211111111,0.959111111111,0.0221166666667,7.27888888889e-06,2.70111111111,67.5555555556,0.0124777777778,2100.0,0.00625222222222,1.01943967056
eyes-0-pyramid-18-selectivity-1,bodytrack:layer-2-particle-1833,2531.11111111,1.06555555556,0.336888888889,0.150222222222,5676.66666667,0.674,16.8444444444,2.28,0.787222222222,7.18444444444,0.00126111111111,0.985777777778,0.114777777778,1.87211111111e-05,4.55888888889,113.922222222,0.130755555556,2105.55555556,0.0499444444444,1.01521068968
eyes-0-pyramid-18-selectivity-1,ferret:eyes-2-pyramid-5-selectivity-1,2296.66666667,1.06888888889,0.180555555556,0.134222222222,3088.88888889,0.360777777778,9.02222222222,1.34555555556,0.932333333333,0.543333333333,0.000175666666667,0.955555555556,0.0271033333333,8.72888888889e-06,2.68888888889,67.2111111111,0.0208711111111,2138.88888889,0.0114988888889,1.01731629405
eyes-0-pyramid-18-selectivity-1,ferret:eyes-1-pyramid-9-selectivity-1,2302.22222222,1.06888888889,0.180777777778,0.134222222222,3098.88888889,0.361555555556,9.03444444444,1.34555555556,0.910222222222,0.721888888889,0.000233,0.966777777778,0.02584,8.28777777778e-06,2.69,67.2333333333,0.0190333333333,2143.33333333,0.00979111111111,1.01682949265
eyes-0-pyramid-18-selectivity-1,swaptions:num-100000,2316.66666667,1.07,0.354111111111,0.134444444444,6100.0,0.708444444444,17.7333333333,2.63111111111,0.981888888889,0.0858555555556,1.41166666667e-05,0.857333333333,0.0124433333333,2.05566666667e-06,5.26777777778,131.666666667,0.00640444444444,2153.33333333,0.00142144444444,1.01751469169
eyes-0-pyramid-18-selectivity-1,bodytrack:layer-1-particle-1399,2367.77777778,1.06111111111,0.351444444444,0.138222222222,6022.22222222,0.702888888889,17.5777777778,2.54222222222,0.789,5.23333333333,0.000868555555556,0.982,0.0931333333333,1.54188888889e-05,5.08777777778,127.222222222,0.123222222222,2141.11111111,0.0405333333333,1.00740191987
eyes-0-pyramid-18-selectivity-1,swaptions:num-800000,2254.44444444,1.06555555556,0.352666666667,0.133555555556,5947.77777778,0.705222222222,17.6333333333,2.63777777778,0.985333333333,0.0663222222222,1.11933333333e-05,0.823777777778,0.0116566666667,1.97933333333e-06,5.27666666667,131.888888889,0.00475555555556,2106.66666667,0.000872666666667,1.0171318966
eyes-0-pyramid-18-selectivity-1,swaptions:num-100000,2291.11111111,1.06222222222,0.352111111111,0.133222222222,6053.33333333,0.704222222222,17.6,2.64111111111,0.984333333333,0.0729222222222,1.21266666667e-05,0.861777777778,0.00954777777778,1.60922222222e-06,5.27888888889,132.0,0.00396555555556,2148.88888889,0.000779,1.02604413538
eyes-0-pyramid-18-selectivity-1,ferret:eyes-1-pyramid-7-selectivity-2,2302.22222222,1.06888888889,0.183,0.134333333333,3134.44444444,0.365888888889,9.14888888889,1.36333333333,0.941444444444,0.483444444444,0.000154777777778,0.949555555556,0.0277,8.91666666667e-06,2.72,68.0777777778,0.0186311111111,2140.0,0.00945,1.01806647245
eyes-0-pyramid-18-selectivity-1,bodytrack:layer-3-particle-100,2371.11111111,1.06222222222,0.395777777778,0.139555555556,6727.77777778,0.791555555556,19.7888888889,2.83777777778,0.777222222222,2.33555555556,0.000347666666667,0.966333333333,0.0739222222222,1.1e-05,5.67333333333,142.0,0.155777777778,2124.44444444,0.0519444444444,1.00514018453
eyes-0-pyramid-18-selectivity-1,swaptions:num-400000,2282.22222222,1.06555555556,0.352888888889,0.133666666667,6025.55555556,0.705777777778,17.6444444444,2.64111111111,0.980555555556,0.0895666666667,1.50011111111e-05,0.886444444444,0.0103657777778,1.74188888889e-06,5.27777777778,132.0,0.00476866666667,2133.33333333,0.000901444444444,1.01827781736
eyes-0-pyramid-18-selectivity-0,bodytrack:layer-3-particle-100,2408.88888889,1.06888888889,0.398,0.140888888889,6796.66666667,0.795777777778,19.9,2.82333333333,0.774777777778,2.40333333333,0.000353111111111,0.962111111111,0.0866555555556,1.27233333333e-05,5.64777777778,141.111111111,0.164555555556,2135.55555556,0.0551333333333,1.02296845475
eyes-0-pyramid-18-selectivity-0,bodytrack:layer-3-particle-2266,2294.44444444,1.06888888889,0.309666666667,0.136555555556,5206.66666667,0.619333333333,15.4777777778,2.26777777778,0.787777777778,7.96777777778,0.00153,0.994222222222,0.0449111111111,8.62555555556e-06,4.53444444444,113.222222222,0.0581,2100.0,0.0236888888889,1.0299195956
eyes-0-pyramid-18-selectivity-0,ferret:eyes-1-pyramid-16-selectivity-0,2264.44444444,1.06888888889,0.181444444444,0.134444444444,3056.66666667,0.362888888889,9.07666666667,1.35222222222,0.932555555556,0.516666666667,0.000168888888889,0.947333333333,0.0306511111111,9.99333333333e-06,2.7,67.5444444444,0.0252888888889,2105.55555556,0.01522,1.022846834
eyes-0-pyramid-18-selectivity-0,swaptions:num-700000,2266.66666667,1.07,0.352888888889,0.134111111111,5960.0,0.706111111111,17.6555555556,2.62777777778,0.986666666667,0.0604555555556,1.01444444444e-05,0.810222222222,0.0113333333333,1.89733333333e-06,5.26,131.444444444,0.00536777777778,2111.11111111,0.000951888888889,1.02024448387
eyes-0-pyramid-18-selectivity-0,bodytrack:layer-2-particle-1833,2286.66666667,1.06333333333,0.321222222222,0.135888888889,5412.22222222,0.642333333333,16.0666666667,2.36777777778,0.727222222222,8.83444444444,0.00163222222222,0.994666666667,0.0459888888889,8.49111111111e-06,4.73444444444,118.444444444,0.0729333333333,2105.55555556,0.0283,1.02054889755
eyes-0-pyramid-18-selectivity-0,swaptions:num-100000,2287.77777778,1.06777777778,0.353666666667,0.134222222222,6028.88888889,0.707444444444,17.6888888889,2.63555555556,0.983222222222,0.0789888888889,1.31255555556e-05,0.845666666667,0.0124833333333,2.07811111111e-06,5.27,131.777777778,0.00541866666667,2128.88888889,0.00116844444444,1.02251559139
eyes-0-pyramid-18-selectivity-0,swaptions:num-1000000,2253.33333333,1.06666666667,0.354222222222,0.133666666667,5975.55555556,0.708444444444,17.6888888889,2.65,0.987888888889,0.0543333333333,9.11333333333e-06,0.824666666667,0.0105611111111,1.77922222222e-06,5.30111111111,132.555555556,0.00451333333333,2106.66666667,0.000825222222222,1.01764836786
eyes-0-pyramid-18-selectivity-0,ferret:eyes-1-pyramid-9-selectivity-1,2263.33333333,1.07,0.181333333333,0.134222222222,3051.11111111,0.362,9.05444444444,1.34888888889,0.935555555556,0.515888888889,0.000169111111111,0.952222222222,0.0264666666667,8.67e-06,2.69333333333,67.4,0.0184322222222,2105.55555556,0.00984777777778,1.01913342125
eyes-0-pyramid-18-selectivity-0,bodytrack:layer-1-particle-2700,2293.33333333,1.06777777778,0.329111111111,0.136,5553.33333333,0.658555555556,16.4555555556,2.42333333333,0.753555555556,7.58333333333,0.00136555555556,0.993,0.0531888888889,9.57777777778e-06,4.84333333333,120.888888889,0.0880777777778,2105.55555556,0.0340555555556,1.02365509713
eyes-0-pyramid-18-selectivity-0,ferret:eyes-0-pyramid-16-selectivity-2,2285.55555556,1.06777777778,0.180888888889,0.133777777778,3090.0,0.361777777778,9.04333333333,1.35111111111,0.935,0.512666666667,0.000167,0.963,0.0216488888889,7.09633333333e-06,2.70222222222,67.5555555556,0.0130477777778,2133.33333333,0.00637444444444,1.02411875885
