;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C6res%;C7res%;C8res%;C9res%;Date;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);Time;WRITE;
hash 3 iteration 22 probe 16;8.25e+03;1.04;8.87;0;10.5;35.8;0;0;0;0;0;2018-11-05;0.155;0.0923;1.39e+04;0.31;7.76;1.68;0.618;6.41;0.000462;0.525;2.98;0.000215;3.36;84;48;1.2;1.12e+04;17:25:47.244;0.156;
hash 2 iteration 25 probe 20;7.97e+03;1.03;8.68;0;10.1;35.5;0;0;0;0;0;2018-11-05;0.156;0.0898;1.38e+04;0.312;7.81;1.74;0.709;5.52;0.000399;0.555;2.43;0.000176;3.47;86.9;47.5;1;1.11e+04;17:23:51.777;0.152;
hash 5 iteration 17 probe 12;8.47e+03;1.04;8.78;0;19.1;20.7;0;0;0;0;0;2018-11-05;0.153;0.0915;1.42e+04;0.307;7.67;1.68;0.61;8.35;0.000587;0.474;4.37;0.000307;3.35;83.9;50.3;1.66;1.16e+04;17:22:36.542;0.154;
hash 5 iteration 17 probe 14;8.64e+03;1.04;8.93;0;9.38;33.7;0;0;0;0;0;2018-11-05;0.155;0.0928;1.44e+04;0.31;7.74;1.67;0.564;8.94;0.000621;0.466;4.7;0.000327;3.34;83.4;50.3;1.79;1.16e+04;17:22:13.552;0.163;
hash 4 iteration 19 probe 18;8.77e+03;1.04;9.17;0;10.9;30.7;0;0;0;0;0;2018-11-05;0.159;0.0954;1.46e+04;0.319;7.96;1.67;0.568;8.87;0.000606;0.52;4.23;0.000289;3.34;83.5;51.3;1.59;1.15e+04;17:23:19.804;0.185;
hash 5 iteration 17 probe 16;8.6e+03;1.03;8.86;0;9.45;33.8;0;0;0;0;0;2018-11-05;0.152;0.091;1.43e+04;0.303;7.58;1.67;0.586;9.23;0.000644;0.456;4.99;0.000348;3.33;83.4;50.5;1.86;1.18e+04;17:21:44.442;0.158;
hash 3 iteration 25 probe 16;8.14e+03;1.04;8.78;0;11.6;30.7;0;0;0;0;0;2018-11-05;0.156;0.0913;1.39e+04;0.312;7.8;1.71;0.671;6.47;0.000465;0.522;3.03;0.000218;3.42;85.5;48;1.22;1.12e+04;17:24:46.677;0.157;
hash 5 iteration 17 probe 18;9.13e+03;1.04;9.26;0;12.4;30.5;0;0;0;0;0;2018-11-05;0.157;0.0965;1.49e+04;0.315;7.87;1.63;0.594;10.6;0.000713;0.488;5.42;0.000363;3.26;81.6;53.3;1.98;1.18e+04;17:28:23.063;0.187;
hash 7 iteration 19 probe 2;8.13e+03;1.04;8.71;0;11.7;31.9;0;0;0;0;0;2018-11-05;0.155;0.0902;1.4e+04;0.31;7.75;1.72;0.586;6.27;0.000448;0.534;2.9;0.000207;3.44;86;48.6;1.24;1.13e+04;17:30:27.407;0.153;
hash 6 iteration 14 probe 12;8.66e+03;1.03;8.9;0;10.3;32;0;0;0;0;0;2018-11-05;0.153;0.0914;1.45e+04;0.306;7.64;1.67;0.563;9.12;0.00063;0.451;4.98;0.000344;3.34;83.6;50.7;1.86;1.18e+04;17:23:08.446;0.161;
hash 7 iteration 12 probe 6;8.86e+03;1.04;9.21;0;10.1;31.3;0;0;0;0;0;2018-11-05;0.16;0.096;1.48e+04;0.32;8.01;1.67;0.585;8.67;0.000587;0.519;4.15;0.000281;3.34;83.4;50.6;1.65;1.15e+04;17:19:41.992;0.191;
hash 7 iteration 12 probe 4;8.77e+03;1.04;9.22;0;11.3;28.7;0;0;0;0;0;2018-11-05;0.161;0.0961;1.47e+04;0.322;8.05;1.68;0.605;8.11;0.000552;0.551;3.58;0.000244;3.35;83.8;51.1;1.48;1.14e+04;17:24:18.027;0.19;
hash 7 iteration 12 probe 2;8.43e+03;1.02;9.05;0;10.3;34.8;0;0;0;0;0;2018-11-05;0.154;0.0925;1.4e+04;0.307;7.68;1.66;0.625;6.24;0.000446;0.534;2.88;0.000206;3.32;83;48.1;1.23;1.14e+04;17:22:47.850;0.154;
hash 6 iteration 7 probe 18;9.16e+03;1.03;9.16;0;10.3;30.4;0;0;0;0;0;2018-11-05;0.155;0.0947;1.49e+04;0.309;7.73;1.63;0.551;11.3;0.000753;0.429;6.39;0.000427;3.26;81.6;53.3;2.32;1.21e+04;17:29:01.127;0.177;
hash 6 iteration 7 probe 16;9.28e+03;1.04;9.33;0;10.4;30.1;0;0;0;0;0;2018-11-05;0.158;0.0974;1.51e+04;0.316;7.91;1.62;0.523;11.1;0.000735;0.478;5.75;0.000381;3.25;81.2;52.4;2.11;1.19e+04;17:18:35.066;0.193;
hash 5 iteration 19 probe 20;8.76e+03;1.04;8.87;0;10.2;33.6;0;0;0;0;0;2018-11-05;0.152;0.0925;1.44e+04;0.305;7.62;1.65;0.521;9.96;0.00069;0.442;5.53;0.000383;3.3;82.4;51.6;1.99;1.18e+04;17:24:29.513;0.157;
hash 6 iteration 7 probe 12;8.76e+03;1.04;8.93;0;11.1;34.1;0;0;0;0;0;2018-11-05;0.154;0.0931;1.45e+04;0.308;7.7;1.65;0.578;9.39;0.000648;0.461;5.03;0.000347;3.31;82.7;50.3;1.88;1.18e+04;17:19:18.697;0.164;
hash 5 iteration 14 probe 16;9.37e+03;1.04;9.55;0;12.8;26.5;0;0;0;0;0;2018-11-05;0.163;0.0996;1.53e+04;0.325;8.14;1.63;0.557;10.9;0.000711;0.487;5.54;0.000362;3.27;81.7;53.4;2.13;1.17e+04;17:30:01.296;0.211;
hash 4 iteration 19 probe 20;8.45e+03;1.04;8.76;0;11.4;34.8;0;0;0;0;0;2018-11-05;0.153;0.0913;1.42e+04;0.307;7.67;1.68;0.608;8.3;0.000585;0.467;4.39;0.00031;3.36;84;50;1.64;1.16e+04;17:30:21.621;0.159;
hash 6 iteration 19 probe 20;9.42e+03;1.04;9.38;0;10.8;29.6;0;0;0;0;0;2018-11-05;0.157;0.0976;1.51e+04;0.314;7.85;1.61;0.552;11.7;0.000774;0.459;6.31;0.000417;3.21;80.4;54.1;2.27;1.21e+04;17:21:47.382;0.191;
hash 8 iteration 2 probe 20;9.45e+03;1.05;9.05;0;9.65;32;0;0;0;0;0;2018-11-05;0.151;0.0948;1.5e+04;0.301;7.54;1.59;0.461;12.9;0.000856;0.398;7.71;0.000513;3.18;79.5;54.8;2.65;1.25e+04;17:27:57.221;0.167;
hash 8 iteration 14 probe 6;8.61e+03;1.02;8.98;0;9.73;33.2;0;0;0;0;0;2018-11-05;0.154;0.0916;1.44e+04;0.307;7.68;1.68;0.567;8.56;0.000594;0.479;4.39;0.000305;3.35;83.8;50.4;1.7;1.17e+04;17:28:49.346;0.157;
hash 3 iteration 25 probe 18;8.37e+03;1.02;9.06;0;10.2;35.3;0;0;0;0;0;2018-11-05;0.157;0.0926;1.42e+04;0.313;7.83;1.69;0.611;7.13;0.000504;0.504;3.5;0.000248;3.38;84.5;48.2;1.43;1.13e+04;17:25:01.314;0.17;
hash 5 iteration 14 probe 18;8.74e+03;1.05;8.84;0;10.2;33.2;0;0;0;0;0;2018-11-05;0.152;0.0924;1.44e+04;0.304;7.61;1.65;0.576;9.7;0.000675;0.436;5.44;0.000378;3.29;82.3;52;1.98;1.18e+04;17:27:42.569;0.161;
hash 8 iteration 17 probe 10;8.87e+03;1.04;8.92;0;10.9;33.4;0;0;0;0;0;2018-11-05;0.152;0.0928;1.46e+04;0.305;7.62;1.64;0.525;10;0.000687;0.441;5.57;0.000382;3.29;82.2;51.3;2.06;1.19e+04;17:19:15.820;0.165;
hash 7 iteration 17 probe 16;9.04e+03;1.04;8.98;0;11.3;32.9;0;0;0;0;0;2018-11-05;0.152;0.0933;1.47e+04;0.304;7.59;1.63;0.487;11;0.000748;0.417;6.38;0.000434;3.25;81.3;52.5;2.29;1.21e+04;17:21:09.347;0.164;
hash 8 iteration 17 probe 12;9.37e+03;1.04;9.31;0;11.5;30.1;0;0;0;0;0;2018-11-05;0.158;0.0972;1.52e+04;0.316;7.9;1.62;0.567;11.4;0.000749;0.469;6.02;0.000396;3.25;81.2;54.3;2.18;1.2e+04;17:24:49.634;0.187;
hash 7 iteration 17 probe 14;9.19e+03;1.03;9.24;0;14.5;30;0;0;0;0;0;2018-11-05;0.151;0.095;1.46e+04;0.302;7.55;1.59;0.554;10.3;0.000708;0.44;5.75;0.000394;3.18;79.4;53.2;2.07;1.21e+04;17:25:29.913;0.156;
hash 8 iteration 17 probe 14;9.5e+03;1.04;9.41;0;12.2;29.3;0;0;0;0;0;2018-11-05;0.157;0.0977;1.53e+04;0.314;7.84;1.61;0.553;12;0.000786;0.465;6.38;0.000418;3.21;80.3;55.6;2.27;1.22e+04;17:28:28.998;0.188;
hash 7 iteration 17 probe 12;8.8e+03;1.05;8.83;0;11.3;28.3;0;0;0;0;0;2018-11-05;0.153;0.0926;1.45e+04;0.306;7.65;1.65;0.529;9.9;0.000681;0.45;5.42;0.000373;3.3;82.6;52.8;1.98;1.19e+04;17:24:06.364;0.159;
hash 8 iteration 17 probe 16;9.67e+03;1.05;9.41;0;11.2;26.1;0;0;0;0;0;2018-11-05;0.157;0.0984;1.54e+04;0.314;7.84;1.59;0.502;12.7;0.000827;0.448;7;0.000454;3.19;79.7;55.9;2.46;1.23e+04;17:29:29.569;0.198;
hash 8 iteration 12 probe 18;9.32e+03;1.03;9.08;0;9.97;31.7;0;0;0;0;0;2018-11-05;0.15;0.0938;1.49e+04;0.301;7.52;1.6;0.48;12.3;0.000821;0.411;7.19;0.000481;3.21;80.2;53.7;2.5;1.24e+04;17:21:50.396;0.162;
