	ACYC	AFREQ	C0res%	C10res%	C1res%	C2res%	C3res%	C3res%	C6res%	C6res%	C7res%	C7res%	C8res%	C9res%	EXEC	FREQ	INST	INSTnom	INSTnom%	IPC	L2HIT	L2MISS	L2MPI	L3HIT	L3MISS	L3MPI	PhysIPC	PhysIPC%	Proc Energy (Joules)	READ	TIME(ticks)	WRITE
num 300000	42200	1.01	12.6	0	16.6	9.07	0	0	0	0	0	0	0	0	0.255	0.128	84200	0.51	12.8	2	0.855	12.6	0.00015	0.778	2.71	0.0000322	3.99	99.8	228	7.72	41300	0.541
num 500000	69200	1.04	12.9	0	14	5.97	0	0	0	0	0	0	0	0	0.274	0.135	141000	0.549	13.7	2.03	0.879	16.4	0.000117	0.771	3.64	0.0000259	4.06	102	389	11	64100	0.709
num 600000	81300	1.05	12.8	0	16.9	5.04	0	0	0	0	0	0	0	0	0.274	0.135	166000	0.549	13.7	2.04	0.891	17	0.000103	0.805	3.2	0.0000193	4.07	102	472	12.1	75400	0.64
num 100000	15300	1.03	11.4	0	16.1	15.7	0	0	0	0	0	0	0	0	0.226	0.117	29400	0.452	11.3	1.92	0.797	7.04	0.000239	0.692	2.06	0.0000702	3.85	96.2	91.1	3.8	16300	0.429
num 900000	121000	1.06	13	0	19.5	3.45	0	0	0	0	0	0	0	0	0.28	0.137	248000	0.56	14	2.04	0.895	24.3	0.0000979	0.838	3.82	0.0000154	4.08	102	702	17.4	111000	0.74
num 1000000	137000	1.05	13.3	0	14.6	2.01	0	0	0	0	0	0	0	0	0.284	0.139	280000	0.569	14.2	2.04	0.882	31.6	0.000113	0.761	7.36	0.0000263	4.09	102	779	20.2	123000	1.05
num 400000	53900	1.06	12.4	0	16.1	7.7	0	0	0	0	0	0	0	0	0.269	0.131	111000	0.539	13.5	2.06	0.909	8.92	0.0000806	0.745	2.23	0.0000202	4.11	103	317	8.16	51400	0.58
num 200000	27800	1.05	11.8	0	14.9	12.9	0	0	0	0	0	0	0	0	0.253	0.124	56400	0.505	12.6	2.03	0.889	6.03	0.000107	0.86	0.817	0.0000145	4.06	102	163	4.25	27900	0.364
num 700000	91900	1.06	12.5	0	13.7	4.65	0	0	0	0	0	0	0	0	0.275	0.132	191000	0.55	13.7	2.08	0.937	10.3	0.0000542	0.884	1.16	0.00000611	4.15	104	543	12.1	86800	0.474
num 800000	112000	1.06	13.4	0	17.7	3.47	0	0	0	0	0	0	0	0	0.281	0.142	222000	0.561	14	1.98	0.852	34.4	0.000155	0.84	5.34	0.0000241	3.96	99	549	16	98800	1.94
