Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
num-400000,2257.05882353,1.06941176471,0.354176470588,0.134058823529,5960.58823529,0.708352941176,17.7117647059,2.64176470588,0.0409352941176,6.87470588235e-06,0.943176470588,0.00301782352941,5.08594117647e-07,5.28294117647,132.117647059,0.00208132941176,2102.94117647,0.000265888235294
num-200000,2315.0,1.07,0.355,0.135125,6085.0,0.71025,17.75,2.6275,0.1160625,1.872875e-05,0.9195,0.0074,1.202875e-06,5.26,131.5,0.004699375,2141.25,0.0006305
num-800000,2257.35294118,1.06970588235,0.354529411765,0.133970588235,5977.64705882,0.709,17.7323529412,2.64676470588,0.0341176470588,5.70647058824e-06,0.953147058824,0.00185352941176,3.08864705882e-07,5.29470588235,132.294117647,0.00127626470588,2106.47058824,0.000174508823529
num-100000,2250.0,1.0675,0.35325,0.134,5937.5,0.70675,17.675,2.6375,0.064575,1.08875e-05,0.9045,0.0063875,1.0785e-06,5.275,132.0,0.0037755,2100.0,0.00046525
num-600000,2288.46153846,1.07,0.353884615385,0.134346153846,6031.53846154,0.707769230769,17.7,2.63384615385,0.0620115384615,1.02069230769e-05,0.918769230769,0.00435215384615,7.15826923077e-07,5.26807692308,131.807692308,0.00289203846154,2128.84615385,0.000568784615385
num-900000,2253.58974359,1.06974358974,0.353128205128,0.134076923077,5940.0,0.706256410256,17.658974359,2.63512820513,0.0374153846154,6.30923076923e-06,0.942282051282,0.00304538461538,5.15787179487e-07,5.27,131.769230769,0.00182353846154,2101.28205128,0.000299792307692
num-300000,2266.92307692,1.06923076923,0.356076923077,0.134769230769,5993.84615385,0.711769230769,17.8076923077,2.64307692308,0.0661,1.08869230769e-05,0.927230769231,0.00465961538462,7.72153846154e-07,5.28846153846,132.076923077,0.00295684615385,2103.84615385,0.000539530769231
num-700000,2258.33333333,1.06966666667,0.354633333333,0.134233333333,5972.66666667,0.709333333333,17.7466666667,2.644,0.0596,9.943e-06,0.933133333333,0.0033596,5.6228e-07,5.28766666667,132.133333333,0.0021651,2103.66666667,0.000335776666667
num-500000,2252.38095238,1.07,0.354904761905,0.134,5974.28571429,0.709952380952,17.7523809524,2.65142857143,0.0341714285714,5.72333333333e-06,0.955857142857,0.00168476190476,2.82242857143e-07,5.3019047619,132.666666667,0.00116628571429,2102.38095238,0.000155433333333
num-1000000,2305.71428571,1.06976190476,0.35469047619,0.134095238095,6096.9047619,0.709404761905,17.730952381,2.64404761905,0.0526452380952,8.64047619048e-06,0.933595238095,0.00388576190476,6.4135952381e-07,5.28857142857,132.214285714,0.00216161904762,2148.0952381,0.000283623809524
